N	2gram	Bakhtin_Pr_2	UchenyiS
1	и в	43	14
2	а не	7	10
3	не только	11	10
4	и не	29	8
5	прежде всего	10	8
6	то что	7	7
7	в этом	13	7
8	не может	18	7
9	может быть	23	6
10	в художественном	3	5
11	хотя бы	2	5
12	художественного творчества	2	5
13	все это	5	5
14	и только	3	5
15	то же	8	5
16	но и	14	4
17	в их	3	4
18	конечно не	2	4
19	с другой	4	4
20	что такое	2	4
21	но в	10	3
22	как и	14	3
23	и то	2	3
24	все же	3	3
25	в своей	4	3
26	для этого	2	3
27	же время	5	3
28	другой стороны	3	3
29	для него	8	3
30	это не	3	3
31	в то	7	3
32	не как	6	3
33	было бы	5	3
34	ни было	2	3
35	у нас	2	3
36	но конечно	2	2
37	том что	2	2
38	но не	5	2
39	в том	6	2
40	по существу	3	2
41	мы не	4	2
42	с его	4	2
43	не есть	2	2
44	не в	11	2
45	и для	3	2
46	но это	4	2
47	мы и	2	2
48	бы и	2	2
49	должна быть	3	2
50	этом смысле	2	2
51	если бы	3	2
52	только в	4	2
53	и с	5	2
54	тем что	3	2
55	сих пор	7	2
56	могут быть	3	2
57	его и	2	2
58	именно как	2	2
59	что он	13	2
60	в себе	5	2
61	как раз	4	2
62	до сих	7	2
63	установку на	2	2
64	в конце	2	2
65	в самом	7	2
66	в сторону	2	2
67	художественном творчестве	3	2
68	не могут	4	2
69	по себе	11	2
70	превращается в	2	2
71	ничего не	3	2
72	самом деле	5	2
73	а как	4	2
74	и является	2	2
75	а между	2	2
76	что и	3	2
77	в его	10	2
78	между тем	3	2
79	конце концов	2	2
80	таким образом	5	2
81	же не	4	2
