N	2gram	Vinokur_Vv_1	Myshleni
1	и в	27	25
2	в том	31	23
3	том что	26	20
4	что в	11	17
5	так же	3	17
6	таким образом	19	17
7	с тем	6	16
8	как и	5	15
9	то что	17	15
10	в его	10	15
11	в этом	34	14
12	вместе с	6	14
13	может быть	24	13
14	в целом	5	13
15	так как	13	12
16	в качестве	7	12
17	по своему	5	11
18	на основании	5	11
19	как бы	5	10
20	и не	13	10
21	и что	4	10
22	того что	12	10
23	было бы	5	10
24	что и	3	10
25	только в	13	10
26	заключается в	4	9
27	связи с	3	9
28	мы не	2	9
29	того чтобы	21	8
30	тем что	6	8
31	как мы	9	8
32	уже в	5	7
33	все эти	3	7
34	что мы	2	7
35	как это	5	7
36	по себе	9	7
37	понятия в	2	7
38	для того	21	7
39	мы можем	2	7
40	в области	4	7
41	не менее	8	6
42	с другой	8	6
43	как уже	2	6
44	в собственном	2	6
45	не в	8	6
46	же как	3	6
47	один из	6	6
48	мы видели	2	6
49	не может	13	6
50	в связи	2	6
51	и на	3	6
52	потому что	14	6
53	от этого	5	6
54	что он	4	6
55	в отношении	2	6
56	в силу	3	6
57	представляет собой	12	6
58	но не	7	6
59	того же	3	6
60	не только	21	6
61	все же	8	6
62	собственном смысле	2	6
63	в отличие	3	6
64	точки зрения	7	6
65	все это	6	6
66	можно было	7	6
67	отличие от	3	6
68	именно в	8	5
69	что это	3	5
70	тем не	8	5
71	и как	9	5
72	одной стороны	4	5
73	при этом	3	5
74	одним из	5	5
75	что она	3	5
76	на этой	3	5
77	с одной	4	5
78	если бы	2	5
79	о том	15	5
80	входит в	2	5
81	связи между	4	5
82	из которых	2	5
83	могут быть	4	5
84	в этой	3	5
85	и т.д	4	5
86	в основу	2	4
87	не могут	5	4
88	независимо от	3	4
89	в частности	3	4
90	никогда не	3	4
91	в своем	3	4
92	в какой	4	4
93	из этих	5	4
94	прежде всего	8	4
95	к тому	4	4
96	что с	3	4
97	мог бы	2	4
98	не мог	2	4
99	в ряде	2	4
100	смысле этого	8	4
101	всяком случае	3	4
102	из них	3	4
103	но и	5	4
104	от того	3	4
105	не столько	2	4
106	выводу что	5	4
107	а в	5	4
108	сказать что	5	4
109	говорит он	2	4
110	в то	5	4
111	мы имеем	3	4
112	тогда когда	3	4
113	в известном	3	4
114	с этим	2	4
115	что оно	2	4
116	так называемая	2	4
117	и того	2	4
118	одного и	2	4
119	еще не	4	4
120	по сравнению	3	4
121	связь между	4	4
122	той же	4	4
123	во всяком	3	4
124	этого слова	2	4
125	и это	6	4
126	с этой	4	3
127	как оно	3	3
128	на этом	3	3
129	обе эти	2	3
130	и сам	2	3
131	в самом	12	3
132	в котором	4	3
133	на том	3	3
134	значение в	2	3
135	этот процесс	3	3
136	другой стороны	5	3
137	по отношению	4	3
138	по признаку	2	3
139	в которых	6	3
140	этом отношении	3	3
141	в результате	3	3
142	между тем	8	3
143	во всем	2	3
144	его в	6	3
145	как он	6	3
146	как она	4	3
147	по этому	2	3
148	сравнению с	3	3
149	не как	3	3
150	состоит в	2	3
151	к этому	3	3
152	с понятием	3	3
153	но как	2	3
154	его к	2	3
155	наряду с	2	3
156	не есть	4	3
157	с ней	2	3
158	образом по	2	3
159	дело с	6	3
160	между ними	2	3
161	этот вопрос	4	3
162	в виде	4	3
163	не могли	2	3
164	того как	3	3
165	то же	8	2
166	в изучении	2	2
167	известном смысле	3	2
168	в этих	3	2
169	тому что	2	2
170	том виде	3	2
171	мы называем	2	2
172	раньше чем	3	2
173	одной и	2	2
174	со всей	3	2
175	в тех	2	2
176	так что	5	2
177	но все	3	2
178	смысле слова	7	2
179	об отношении	2	2
180	такого рода	2	2
181	все более	3	2
182	и той	2	2
183	хотя и	3	2
184	в нем	13	2
185	для этого	3	2
186	имеет дело	5	2
187	только после	2	2
188	и других	3	2
189	должно быть	2	2
190	как на	11	2
191	каждый из	2	2
192	виде в	2	2
193	в своих	2	2
194	в начале	3	2
195	в чисто	4	2
196	само по	3	2
197	однако в	3	2
198	в них	4	2
199	на котором	2	2
200	в одном	4	2
201	этом смысле	11	2
202	ясно что	9	2
203	и заключается	4	2
204	об этом	5	2
205	одна из	2	2
206	о котором	8	2
207	есть и	4	2
208	с их	5	2
209	с теми	2	2
210	а также	3	2
211	отношению к	4	2
212	момента в	2	2
213	в своей	4	2
214	к выводу	6	2
215	только что	4	2
216	внимание на	4	2
217	в течение	5	2
218	из того	2	2
219	уже не	5	2
220	на этот	4	2
221	и для	4	2
222	речь в	4	2
223	и его	5	2
224	или иначе	4	2
225	и то	5	2
226	в себе	4	2
227	в чем	4	2
228	а как	3	2
