N	2gram	Berdyaev_M_1	FransuaR
1	и в	28	40
2	то есть	3	18
3	и его	9	17
4	прежде всего	10	16
5	в этом	20	15
6	не только	29	13
7	и не	11	13
8	в его	9	13
9	что в	10	12
10	как и	5	11
11	но и	25	11
12	в них	4	9
13	и все	10	9
14	может быть	30	9
15	он не	24	9
16	отношение к	4	8
17	в том	6	8
18	у него	17	8
19	все эти	2	8
20	и с	3	8
21	и на	6	8
22	но в	7	8
23	в своем	10	7
24	он и	2	7
25	в виду	2	7
26	мы еще	2	6
27	в этих	4	6
28	к этому	2	6
29	в самом	11	6
30	в своей	15	6
31	в той	2	6
32	в то	2	6
33	до конца	14	6
34	мы видим	2	5
35	в нем	13	5
36	то что	5	5
37	не было	18	5
38	а не	25	5
39	и для	2	5
40	в основе	2	5
41	для него	11	5
42	и во	2	4
43	xix века	4	4
44	у нас	5	4
45	том что	3	4
46	смысле слова	4	4
47	до сих	2	4
48	было бы	10	4
49	в ней	15	4
50	и потому	10	4
51	один из	4	4
52	в мире	10	4
53	жизни и	2	4
54	сих пор	2	4
55	в их	4	4
56	все это	6	4
57	о том	2	4
58	того чтобы	2	4
59	особенно в	3	4
60	также и	2	4
61	в истории	2	4
62	так как	3	4
63	с его	3	3
64	если бы	2	3
65	и от	2	3
66	и к	2	3
67	он был	14	3
68	в ее	3	3
69	в начале	2	3
70	в этой	6	3
71	и есть	14	3
72	как бы	2	3
73	о нем	2	3
74	еще в	2	3
75	что и	4	3
76	вместе с	6	3
77	как в	2	3
78	по отношению	2	3
79	не может	28	3
80	а в	4	3
81	для того	2	3
82	ко всем	3	3
83	к этой	2	3
84	и как	2	3
85	не так	3	3
86	сказать что	2	3
87	в более	2	3
88	тем что	4	3
89	одно из	3	3
90	в себе	7	3
91	только в	6	3
92	на протяжении	2	3
93	в конце	7	3
94	в свете	3	3
95	был еще	4	2
96	из самых	8	2
97	связана с	2	2
98	есть и	3	2
99	уже в	4	2
100	и страдания	3	2
101	не был	7	2
102	и этот	4	2
103	о чем	2	2
104	хотя бы	3	2
105	это не	5	2
106	что он	10	2
107	и вот	3	2
108	о мире	2	2
109	момент в	2	2
110	все же	2	2
111	это и	4	2
112	это есть	3	2
113	много в	2	2
114	и историческое	2	2
115	на этом	3	2
116	но не	8	2
117	все что	2	2
118	мы увидим	3	2
119	конечно не	3	2
120	века в	2	2
121	к нему	7	2
122	страдания и	2	2
123	одним из	2	2
124	у самого	2	2
125	в котором	8	2
126	отношению к	2	2
127	не к	4	2
128	в этот	2	2
129	его творчество	2	2
130	церковь и	2	2
131	лишь в	6	2
132	и у	2	2
133	образ и	2	2
134	потому что	16	2
135	он в	2	2
136	с этим	3	2
137	даже и	2	2
138	но он	9	2
139	точки зрения	4	2
140	этот мир	2	2
141	к новому	2	2
142	и еще	3	2
143	по сравнению	2	2
144	него и	2	2
145	с того	2	2
146	как он	2	2
147	и это	12	2
148	в которой	6	2
149	и сама	2	2
