N	2gram	Medvedev_U_1	PoTuStor
1	может быть	6	17
2	и в	14	16
3	прежде всего	8	9
4	таким образом	2	9
5	в этом	7	9
6	и только	5	9
7	и с	2	8
8	не может	7	8
9	с его	2	7
10	не только	10	7
11	самом деле	2	6
12	для него	3	6
13	конечно не	4	6
14	что такое	4	5
15	но и	4	4
16	все это	5	4
17	хотя бы	5	4
18	и не	8	4
19	в этой	4	4
20	художественного творчества	5	4
21	только в	2	4
22	для всех	2	4
23	но в	3	4
24	в его	2	4
25	могут быть	2	3
26	сих пор	2	3
27	этом смысле	2	3
28	крайней мере	2	3
29	в том	2	3
30	том что	2	3
31	то что	7	3
32	по крайней	2	3
33	в области	3	3
34	в конечном	4	3
35	до сих	2	3
36	не могут	2	2
37	что и	2	2
38	не есть	2	2
39	ни было	3	2
40	конечном счете	4	2
41	в частности	3	2
42	для этого	3	2
43	то же	5	2
44	и через	2	2
45	в итоге	2	2
46	сводится к	2	2
47	что он	2	2
48	мы не	2	2
49	что мы	2	2
50	на первый	2	2
51	и для	2	2
52	как и	3	2
53	но это	2	2
54	было бы	3	2
55	т.е в	2	2
56	в самом	2	2
57	в своей	3	2
