N	2gram	Vinokur_St_3	VLabPisa
1	таким образом	10	27
2	в этом	24	26
3	и в	25	25
4	и т	8	24
5	не только	12	22
6	может быть	19	21
7	и не	10	19
8	т е	8	17
9	не может	7	17
10	в его	12	15
11	т д	2	15
12	прежде всего	10	13
13	в том	20	13
14	этом отношении	4	13
15	все это	8	12
16	вот что	3	11
17	с другой	5	11
18	представляет собою	2	10
19	в качестве	4	10
20	о том	8	10
21	по этому	3	9
22	к этому	3	9
23	об этом	5	9
24	что в	19	9
25	для него	3	9
26	и др	4	9
27	но и	9	9
28	то же	5	9
29	т п	6	9
30	говорит и	2	8
31	все эти	3	8
32	другой стороны	5	8
33	могут быть	2	8
34	из этих	6	7
35	в году	5	7
36	как и	4	7
37	том что	15	7
38	было бы	7	7
39	во всех	2	7
40	вместе с	2	7
41	этому поводу	2	7
42	не было	4	7
43	произведения и	2	7
44	а не	5	7
45	у него	9	6
46	это не	7	6
47	то что	12	6
48	так и	5	6
49	и его	3	6
50	между тем	6	6
51	в то	7	6
52	в результате	2	5
53	тому что	3	5
54	же время	3	5
55	все же	4	5
56	связи с	3	5
57	как бы	6	5
58	один из	2	5
59	работы над	2	5
60	в их	3	5
61	на основе	2	5
62	сказать что	4	5
63	действующих лиц	4	5
64	только в	6	5
65	не в	6	5
66	не является	3	5
67	в плане	2	5
68	он говорит	4	5
69	произведения как	2	5
70	к тому	2	4
71	для его	2	4
72	никогда не	2	4
73	в целом	4	4
74	что все	3	4
75	что он	19	4
76	с его	3	4
77	можно сказать	4	4
78	одна из	2	4
79	в своей	4	4
80	в самом	2	4
81	должен быть	2	4
82	как раз	3	4
83	в них	5	4
84	в связи	3	4
85	в статье	2	4
86	в этой	14	4
87	утверждать что	2	4
88	и к	4	3
89	во время	3	3
90	всех этих	3	3
91	и ее	2	3
92	с тем	4	3
93	в конце	6	3
94	только что	2	3
95	черновой редакции	2	3
96	у нас	4	3
97	из его	7	3
98	что они	2	3
99	в творчестве	3	3
100	но как	2	3
101	как о	2	3
102	или в	2	3
103	с этим	7	3
104	что не	2	3
105	например в	4	3
106	работал над	4	3
107	в виду	2	3
108	в котором	5	3
109	нет и	2	3
110	ее в	2	3
111	пушкин в	10	3
112	этой области	2	3
113	того что	5	3
114	и по	2	3
115	его не	2	3
116	в которых	2	3
117	как на	6	3
118	точки зрения	7	3
119	значит и	2	3
120	не менее	2	2
121	на вопрос	3	2
122	в стихотворении	3	2
123	в каждом	4	2
124	связана с	4	2
125	в стихах	2	2
126	отличается от	4	2
127	по крайней	4	2
128	к сожалению	2	2
129	у пушкина	22	2
130	в жизни	4	2
131	вовсе не	2	2
132	а как	4	2
133	показывает что	3	2
134	или иной	2	2
135	от них	2	2
136	крайней мере	4	2
137	что его	2	2
138	до сих	2	2
139	но не	2	2
140	в системе	3	2
141	еще не	2	2
142	одной стороны	3	2
143	и может	2	2
144	для того	2	2
145	он и	2	2
146	в общем	4	2
147	одной из	2	2
148	если бы	4	2
149	мы имеем	5	2
150	подчеркнуть что	3	2
151	том чтобы	2	2
152	на язык	3	2
153	в ней	4	2
154	конце концов	3	2
155	относится к	4	2
156	всяком случае	4	2
157	на эти	3	2
158	если в	2	2
159	работой над	2	2
160	что для	3	2
161	при помощи	2	2
162	он может	2	2
163	сих пор	2	2
164	все они	3	2
165	от того	2	2
166	до нас	2	2
167	между прочим	3	2
168	писателя и	3	2
169	а в	6	2
170	в особенности	4	2
171	начиная с	2	2
172	с одной	2	2
173	в течение	4	2
174	при всей	2	2
175	заключается в	2	2
176	из которых	4	2
177	что такое	7	2
178	представляют собою	3	2
179	и для	4	2
180	к этим	2	2
181	отметить что	5	2
182	между собою	2	2
183	в своих	8	2
184	не столько	2	2
185	во всяком	4	2
186	лишь в	4	2
187	говорил что	5	2
188	он не	5	2
189	это особенно	2	2
190	этого рода	3	2
191	как например	8	2
192	говорить о	3	2
193	в другом	3	2
194	что мы	3	2
195	на это	2	2
196	которые в	2	2
197	в чем	4	2
198	в которой	4	2
199	в области	6	2
200	тогда когда	2	2
201	но в	5	2
