N	2gram	Tiupa_Lite_1	Komedia
1	и в	8	22
2	том что	14	12
3	в том	16	11
4	но и	17	11
5	не только	24	10
6	из них	4	10
7	в то	5	10
8	как и	6	9
9	может быть	13	9
10	таким образом	3	8
11	и не	12	8
12	и его	4	8
13	о том	2	8
14	в этой	4	7
15	что в	3	6
16	в конце	4	6
17	одного из	3	6
18	что он	5	6
19	к тому	2	6
20	тому же	2	6
21	такого рода	10	6
22	то же	5	6
23	не в	8	6
24	а в	3	6
25	уже в	5	5
26	с другой	3	5
27	прежде всего	11	5
28	при этом	19	5
29	в его	7	5
30	еще в	4	5
31	один из	3	5
32	так и	4	5
33	как в	5	5
34	нового времени	2	5
35	и даже	3	5
36	потому что	3	5
37	между тем	2	5
38	в их	3	4
39	по поводу	2	4
40	несмотря на	3	4
41	же в	5	4
42	в другом	2	4
43	в качестве	17	4
44	же время	5	4
45	а также	5	4
46	в нем	2	4
47	тем что	2	4
48	точки зрения	6	4
49	из его	2	4
50	ли не	3	4
51	но в	3	4
52	казалось бы	5	3
53	не менее	7	3
54	все более	2	3
55	однако в	2	3
56	в любом	2	3
57	х годов	2	3
58	одной стороны	2	3
59	и сам	6	3
60	в частности	15	3
61	у него	3	3
62	да и	3	3
63	даже в	2	3
64	все же	4	3
65	отношению к	2	3
66	в целом	8	3
67	всего в	3	3
68	по отношению	3	3
69	этом отношении	2	3
70	с одной	2	3
71	в году	13	3
72	не мог	3	3
73	как раз	4	3
74	в этом	12	3
75	могут быть	2	3
76	только в	8	3
77	как правило	2	3
78	его в	3	3
79	как это	8	3
80	в сознании	2	3
81	в рамках	6	2
82	еще и	3	2
83	для них	2	2
84	за пределы	2	2
85	столь же	4	2
86	тем не	2	2
87	аналогии с	3	2
88	одна из	3	2
89	на этом	2	2
90	но не	4	2
91	того же	2	2
92	в себя	2	2
93	еще не	4	2
94	было бы	2	2
95	в самом	3	2
96	и самого	2	2
97	относится к	2	2
98	всяком случае	2	2
99	для себя	5	2
100	говоря уже	2	2
101	и тем	4	2
102	то что	10	2
103	не к	2	2
104	не говоря	2	2
105	со стороны	4	2
106	при всем	3	2
107	то и	2	2
108	для этого	4	2
109	в сущности	2	2
110	не может	5	2
111	этой цели	2	2
112	в принципе	3	2
113	в силу	4	2
114	во всяком	3	2
115	одну из	2	2
116	на себя	2	2
117	в своих	4	2
118	в себе	7	2
119	по своей	3	2
120	ту же	2	2
121	как будто	2	2
122	тех же	3	2
123	отличие от	5	2
124	из наиболее	2	2
125	в области	3	2
