N	2gram	Bakhtin_Fr_6	Narrotol
1	не только	10	26
2	а не	2	17
3	но и	13	15
4	в том	2	14
5	при этом	3	14
6	и не	3	14
7	том что	7	13
8	и в	41	13
9	в этом	12	13
10	в частности	2	11
11	только в	3	11
12	может быть	2	10
13	в данном	3	10
14	так и	5	9
15	а в	4	9
16	то есть	24	9
17	то что	10	8
18	в себе	5	8
19	не может	4	8
20	не в	4	8
21	к себе	2	7
22	никогда не	8	6
23	в своем	5	6
24	прежде всего	10	6
25	того что	3	6
26	в его	7	6
27	и т.п	19	6
28	данном случае	2	6
29	все же	4	6
30	у него	7	6
31	как бы	7	6
32	а также	5	6
33	но в	8	6
34	точки зрения	2	5
35	что он	6	5
36	одной стороны	4	5
37	хотя и	2	5
38	он не	2	5
39	в котором	4	5
40	в нем	16	5
41	как в	4	5
42	в форме	2	5
43	таким образом	17	5
44	с одной	4	5
45	в той	5	5
46	с другой	4	5
47	в то	6	5
48	о том	9	5
49	перед нами	3	4
50	что это	5	4
51	в конце	2	4
52	в литературе	5	4
53	как и	7	4
54	как у	3	4
55	времени и	2	4
56	все что	4	4
57	что в	7	4
58	жизни и	3	4
59	в своей	2	4
60	в ее	5	4
61	то же	5	4
62	и у	2	4
63	в другом	4	4
64	в этой	8	4
65	и все	9	4
66	как это	2	4
67	с ним	4	4
68	мира в	2	4
69	он является	2	3
70	с его	5	3
71	лицо и	2	3
72	что они	2	3
73	о котором	4	3
74	но не	2	3
75	же время	5	3
76	и сам	3	3
77	как раз	2	3
78	и когда	2	3
79	один из	6	3
80	внимание на	2	3
81	все эти	11	3
82	самом деле	4	3
83	того чтобы	4	3
84	и даже	4	3
85	и для	3	3
86	и его	13	3
87	самим собой	2	3
88	характер и	2	3
89	с этой	3	3
90	этом отношении	3	3
91	никак не	3	3
92	сказать что	6	3
93	между тем	2	3
94	существенную роль	3	3
95	так сказать	2	3
96	мира и	2	3
97	он сам	3	2
98	превращается в	2	2
99	из этих	2	2
100	вовсе не	7	2
101	себе самом	2	2
102	для нас	2	2
103	в начале	3	2
104	тем более	2	2
105	как о	2	2
106	должна быть	2	2
107	мы узнаем	2	2
108	было бы	3	2
109	со всеми	2	2
110	и он	5	2
111	в самом	10	2
112	в центре	2	2
113	все то	5	2
114	в него	3	2
115	раз в	2	2
116	себя в	2	2
117	подчеркнуть что	5	2
118	нового времени	4	2
119	именно в	4	2
120	у нас	4	2
121	те же	3	2
122	они не	3	2
123	и что	5	2
124	с точки	2	2
125	так же	5	2
126	той же	5	2
127	роль в	4	2
128	мы не	2	2
129	в чем	3	2
130	но это	3	2
131	в результате	4	2
132	в ней	4	2
133	но он	5	2
134	говорить о	2	2
135	во время	9	2
136	как он	2	2
137	бы в	2	2
138	потому что	3	2
139	в области	2	2
