N	3gram	Berdyaev_M_1	Otkroven
1	о великом инквизиторе	4	6
2	о человеке и	6	5
3	записок из подполья	5	5
4	о человеке о	2	4
5	все герои достоевского	2	4
6	в самой глубине	4	3
7	в легенде о	2	3
8	дважды два четыре	4	3
9	до самой глубины	4	3
10	в творчестве его	4	3
11	легенде о великом	2	3
12	для того чтобы	2	3
13	к черту и	2	2
14	человеческой природы в	3	2
15	о человеческой природе	2	2
16	у достоевского с	2	2
17	но и в	4	2
18	загадка о человеке	3	2
19	может быть человек	2	2
20	не может быть	17	2
21	он не созерцает	2	2
22	не могут быть	2	2
23	пожелать себе даже	2	2
24	у достоевского было	3	2
25	достоевский прежде всего	2	2
26	единственно для того	2	2
27	и ивана карамазова	2	2
28	что человеку надо	2	2
29	человеке и его	5	2
30	а не в	4	2
31	с тем что	3	2
32	в дневнике писателя	2	2
33	в этом он	2	2
