N	2gram	Berdyaev_V_1	Formalny
1	и не	20	30
2	и в	16	27
3	так и	4	21
4	в этом	4	18
5	а не	7	17
6	в нем	4	15
7	как и	4	14
8	не в	3	12
9	в жизни	3	11
10	и т	2	11
11	но и	5	10
12	не могут	2	10
13	лишь в	3	9
14	так как	9	9
15	не только	2	9
16	что в	3	8
17	ни в	3	8
18	как бы	5	8
19	и все	4	8
20	то что	9	8
21	только в	2	8
22	в том	3	7
23	все это	5	7
24	потому что	4	7
25	между тем	2	7
26	с тем	2	7
27	для них	2	7
28	в его	4	7
29	и теперь	2	6
30	т д	2	6
31	все эти	3	6
32	но в	3	6
33	что он	4	6
34	еще не	8	6
35	в своей	3	6
36	хотя бы	3	6
37	и для	3	6
38	во всяком	2	6
39	никогда не	3	5
40	что они	7	5
41	того чтобы	2	5
42	в ней	4	5
43	в истории	8	5
44	но не	2	5
45	и потому	7	5
46	тем что	2	5
47	прежде всего	2	4
48	к тому	3	4
49	да и	2	4
50	жизни и	3	4
51	не есть	6	4
52	том что	2	4
53	конечно не	2	4
54	мы не	2	4
55	могут быть	2	4
56	бы и	3	3
57	в этих	3	3
58	его и	2	3
59	тому что	3	3
60	это не	2	3
61	в конце	3	3
62	для нас	2	3
63	мы и	2	3
64	должна быть	3	3
65	того что	5	3
66	и что	3	3
67	их в	3	3
68	в них	3	3
69	они и	2	3
70	во всех	3	3
71	нет и	2	3
72	оно не	3	3
73	ее в	2	3
74	уже не	2	3
75	человека и	6	2
76	ее и	2	2
77	но это	3	2
78	в последнем	2	2
79	в котором	4	2
80	от этих	2	2
81	человека как	2	2
82	с его	3	2
83	превращается в	3	2
84	и во	2	2
85	превращаются в	2	2
86	говорить о	4	2
87	а к	2	2
88	одна из	2	2
89	от него	2	2
90	и тогда	2	2
91	что и	3	2
92	как не	3	2
93	на земле	7	2
94	от этого	3	2
95	является в	2	2
96	они будут	4	2
97	и это	2	2
