N	2gram	Berdyaev_M_2	Dialekti
1	т е	4	46
2	не есть	13	40
3	и не	18	30
4	это –	22	25
5	и есть	8	19
6	а не	13	18
7	может быть	21	17
8	ничего не	2	17
9	то что	5	16
10	и в	46	15
11	– в	2	15
12	как бы	8	14
13	не имеет	4	14
14	так как	8	14
15	точки зрения	2	14
16	что это	6	13
17	это есть	2	13
18	того что	6	13
19	по себе	2	13
20	это не	5	12
21	прежде всего	12	11
22	и вот	5	11
23	в том	3	11
24	не может	15	11
25	и все	5	11
26	в этом	20	11
27	она есть	2	10
28	в основе	2	10
29	личности и	2	10
30	потому что	12	10
31	том что	4	10
32	и что	2	9
33	это и	3	9
34	то же	5	9
35	уже не	4	9
36	ни в	3	8
37	не в	9	8
38	что иное	3	8
39	иное как	3	8
40	не что	3	8
41	в себе	10	8
42	не только	18	8
43	в чем	3	8
44	и это	5	8
45	что в	4	7
46	что он	7	7
47	как и	13	7
48	и его	5	7
49	только в	3	7
50	так что	2	6
51	хотя и	2	6
52	сказать что	3	6
53	если бы	3	6
54	что и	4	6
55	нет ничего	3	6
56	я не	5	5
57	так и	4	5
58	в своем	8	5
59	и можно	3	5
60	того чтобы	4	5
61	в ней	11	5
62	в сфере	2	5
63	в нем	22	5
64	что она	5	5
65	– не	3	5
66	и на	3	5
67	о том	3	5
68	с его	4	5
69	личности в	2	5
70	тогда когда	2	5
71	в жизни	4	5
72	есть не	5	5
73	то в	2	5
74	в сущности	2	5
75	– это	2	5
76	для того	5	5
77	и для	7	5
78	той же	3	5
79	мир и	2	4
80	что все	5	4
81	идеи и	3	4
82	но это	8	4
83	в этой	7	4
84	что они	3	4
85	есть в	3	4
86	есть религия	4	4
87	один из	5	4
88	жизни и	6	4
89	но и	15	4
90	так же	6	4
91	также и	4	4
92	и с	3	4
93	не о	2	4
94	лишь как	3	4
95	мы видим	2	4
96	она не	8	4
97	бы в	2	4
98	должны быть	4	4
99	хотя бы	7	4
100	тому как	2	4
101	в его	5	4
102	подобно тому	2	4
103	та же	10	3
104	не всегда	2	3
105	есть прежде	5	3
106	на этом	2	3
107	и нет	3	3
108	же есть	3	3
109	в свою	4	3
110	и если	2	3
111	и той	2	3
112	себя и	3	3
113	отношения к	2	3
114	свободы и	4	3
115	с ним	3	3
116	нет ни	2	3
117	но в	10	3
118	от этого	2	3
119	сознания и	2	3
120	и та	2	3
121	же что	2	3
122	– то	2	3
123	у нас	11	3
124	есть и	3	3
125	в своей	5	3
126	и потому	7	3
127	быть и	2	3
128	бы и	5	3
129	как в	7	3
130	– все	2	3
131	одной и	2	3
132	идея и	3	3
133	что не	2	3
134	вот почему	2	3
135	в человеке	2	2
136	мы еще	2	2
137	науки и	2	2
138	в отношении	5	2
139	– вот	2	2
140	человека и	7	2
141	на все	3	2
142	вопрос о	6	2
143	что человек	2	2
144	к своему	2	2
145	да и	2	2
146	в самом	5	2
147	есть также	2	2
148	себе и	2	2
149	никогда не	18	2
150	у достоевского	34	2
151	для этого	4	2
152	в разных	2	2
153	не было	11	2
154	от того	3	2
155	лишь в	2	2
156	не мог	3	2
157	должно быть	2	2
158	всегда есть	2	2
159	тут в	2	2
160	же и	2	2
161	во всем	5	2
162	– идея	2	2
163	е в	2	2
164	есть по	2	2
165	сам по	2	2
166	тот кто	5	2
167	есть еще	2	2
168	в них	3	2
169	и во	3	2
170	думать что	4	2
171	что было	3	2
172	не будет	3	2
173	все что	4	2
174	что есть	2	2
175	оно не	2	2
176	если есть	3	2
177	и возможно	2	2
178	себя в	4	2
179	нем нет	2	2
180	во всех	2	2
181	вместе с	2	2
182	ее в	2	2
183	что же	2	2
184	и тогда	3	2
185	бы не	2	2
186	в глубине	3	2
187	того как	3	2
188	все равно	3	2
189	жизнь и	4	2
190	тем что	3	2
191	но для	2	2
192	что личность	2	2
193	как будто	2	2
194	отношении к	3	2
195	это все	2	2
196	в которой	2	2
197	тут не	2	2
