N	2gram	Propp_Isto_5	VrazhdaK
1	не только	13	9
2	в этом	10	8
3	и что	8	8
4	и в	25	8
5	но и	13	7
6	что в	8	7
7	то что	7	7
8	и все	3	7
9	в нем	7	6
10	все же	10	6
11	как и	7	6
12	и с	3	6
13	о нем	3	6
14	то же	4	5
15	и не	11	5
16	у него	2	5
17	об этом	2	5
18	в то	3	5
19	уже в	2	4
20	для нас	5	4
21	как бы	2	4
22	все это	4	4
23	это не	6	4
24	что он	22	4
25	так же	5	4
26	с ним	4	4
27	может быть	17	4
28	в истории	4	4
29	несмотря на	2	4
30	о том	7	4
31	в ней	5	4
32	связи с	8	3
33	что у	4	3
34	в связи	4	3
35	т е	16	3
36	к этому	2	3
37	человека в	3	3
38	на то	2	3
39	в том	6	3
40	и его	9	3
41	том что	8	3
42	и как	3	3
43	чтобы он	2	3
44	тем что	10	3
45	в его	12	3
46	в русской	3	3
47	его в	9	3
48	наряду с	4	3
49	но он	2	3
50	одним из	2	3
51	он не	4	3
52	после смерти	3	2
53	в своей	2	2
54	и это	4	2
55	после этого	2	2
56	из них	2	2
57	не менее	4	2
58	никогда не	3	2
59	вместе с	22	2
60	его и	2	2
61	так в	2	2
62	не может	6	2
63	а в	3	2
64	таким образом	9	2
65	но это	7	2
66	уже не	11	2
67	с которым	2	2
68	и он	6	2
69	мы знаем	8	2
70	же в	2	2
71	в этой	3	2
72	же как	4	2
73	их в	3	2
74	точки зрения	2	2
75	в свою	3	2
76	и стал	2	2
77	еще не	8	2
78	во время	7	2
79	в это	2	2
80	о чем	2	2
81	его на	4	2
82	при помощи	7	2
83	одна из	2	2
84	в него	5	2
