N	2gram	Vygotskiy__4	Otkroven
1	у него	6	22
2	человеческой природы	2	20
3	и в	33	19
4	но и	3	13
5	и не	13	13
6	в этом	28	12
7	а не	6	11
8	не в	2	11
9	может быть	22	11
10	не только	7	11
11	и все	12	10
12	вопрос о	2	10
13	в нем	7	10
14	никогда не	5	9
15	не было	3	9
16	в самой	6	9
17	потому что	24	9
18	прежде всего	2	9
19	и он	3	8
20	но он	6	7
21	до конца	7	7
22	он не	11	7
23	в его	10	7
24	все это	13	6
25	как и	5	6
26	то что	44	5
27	до самого	2	5
28	а в	4	5
29	в том	21	5
30	в этой	9	5
31	в самом	12	5
32	с его	2	4
33	в легенде	2	4
34	того чтобы	22	4
35	что не	4	4
36	и его	5	4
37	все эти	6	4
38	не может	10	4
39	что в	21	4
40	нем нет	2	3
41	только одно	2	3
42	и есть	4	3
43	это не	6	3
44	и вот	6	3
45	что он	20	3
46	того что	4	3
47	для того	23	3
48	хотя бы	2	3
49	в своих	3	3
50	и от	2	3
51	и ее	2	3
52	в себе	6	3
53	было бы	12	3
54	когда он	7	3
55	в русской	2	3
56	никто не	4	3
57	о том	20	3
58	с ним	5	3
59	как бы	25	3
60	это было	4	3
61	уже в	2	2
62	все же	5	2
63	что и	3	2
64	ее в	4	2
65	и для	3	2
66	с тем	4	2
67	с чем	2	2
68	так и	3	2
69	в своем	7	2
70	что у	4	2
71	те которые	2	2
72	не все	2	2
73	что все	11	2
74	к этому	4	2
75	по себе	9	2
76	и к	2	2
77	не имеет	2	2
78	должно быть	3	2
79	в дневнике	3	2
80	в ее	2	2
81	самого конца	2	2
82	его не	2	2
83	в которой	4	2
84	что для	5	2
85	том что	22	2
86	так что	7	2
87	и на	5	2
88	и то	2	2
89	что они	6	2
90	сказать что	13	2
91	и с	2	2
92	тем что	3	2
93	одно из	2	2
94	вместо того	2	2
95	его в	3	2
96	должен был	3	2
97	в своей	4	2
98	так как	12	2
99	и о	4	2
100	к этой	3	2
101	ничего не	2	2
102	и из	3	2
103	которую он	2	2
104	но в	2	2
105	много раз	2	2
106	и потому	2	2
107	в уста	3	2
