N	3gram	Vygotskiy__1	Problema
1	то же самое	3	9
2	в данном случае	2	8
3	на то что	3	8
4	для того чтобы	15	8
5	сам по себе	3	7
6	о том что	6	5
7	в том что	15	5
8	в то же	2	4
9	с точки зрения	18	3
10	указывает на то	2	3
11	до сих пор	4	3
12	можно сказать что	4	3
13	с другой стороны	9	3
14	и тем самым	3	3
15	во всяком случае	3	3
16	именно в этом	2	2
17	можно было бы	3	2
18	так же как	5	2
19	в самом деле	2	2
20	мы говорили выше	2	2
21	что может быть	2	2
22	если мы хотим	2	2
23	тем и другим	2	2
24	не может быть	5	2
25	так как он	2	2
