N	2gram	Losev_Prob_3	Narrotol
1	не только	14	32
2	может быть	28	25
3	но и	10	23
4	в качестве	3	21
5	и не	35	20
6	и в	44	19
7	то есть	34	19
8	в том	21	18
9	в этом	17	17
10	в частности	2	14
11	том что	12	14
12	не в	13	14
13	а не	18	12
14	то что	23	11
15	а в	5	11
16	не может	7	10
17	точки зрения	5	10
18	при этом	4	9
19	так и	10	9
20	в его	9	9
21	с другой	7	8
22	героя в	2	8
23	не является	11	8
24	в себе	8	8
25	как и	10	7
26	еще не	5	7
27	к тому	3	7
28	такого рода	6	7
29	ни для	2	7
30	а также	4	7
31	все же	6	7
32	как в	5	7
33	с одной	2	7
34	что он	9	6
35	то в	3	6
36	но не	3	6
37	именно в	2	6
38	в той	3	6
39	тем самым	5	6
40	как это	2	6
41	о том	6	6
42	но в	12	6
43	и как	3	5
44	отнюдь не	10	5
45	по себе	25	5
46	или иной	8	5
47	можно сказать	6	5
48	себя в	2	5
49	уже не	7	5
50	и его	5	5
51	в данном	9	5
52	в основе	2	5
53	в отличие	2	5
54	отличие от	3	5
55	в этой	3	5
56	перед нами	8	4
57	прежде всего	3	4
58	в нем	9	4
59	то же	13	4
60	же в	3	4
61	да и	5	4
62	но все	3	4
63	если не	3	4
64	было бы	8	4
65	связи с	8	4
66	той или	12	4
67	как бы	9	4
68	и тем	9	4
69	хотя бы	3	4
70	данном случае	7	4
71	другой стороны	5	4
72	отличается от	4	4
73	из которых	2	4
74	не столько	2	4
75	сказать что	16	4
76	только в	19	4
77	здесь не	8	4
78	пока еще	2	4
79	и с	9	4
80	же не	2	4
81	не менее	10	3
82	а с	2	3
83	ни было	3	3
84	же как	3	3
85	что в	8	3
86	могут быть	2	3
87	никогда не	6	3
88	уже в	3	3
89	тем не	10	3
90	ни в	8	3
91	это и	7	3
92	что они	5	3
93	хотя и	5	3
94	в ней	5	3
95	он не	8	3
96	и даже	14	3
97	не есть	35	3
98	с ее	2	3
99	бы то	4	3
100	из них	2	3
101	жизни и	6	3
102	когда он	2	3
103	в ее	4	3
104	не обязательно	2	3
105	а именно	8	3
106	даже не	2	3
107	то ни	6	3
108	как мы	8	3
109	то или	3	3
110	о ней	2	3
111	будто бы	3	3
112	тем что	4	3
113	в то	9	3
114	как будто	3	3
115	бы быть	3	3
116	что это	3	3
117	в известном	2	2
118	не являются	2	2
119	или иное	2	2
120	он сам	4	2
121	например как	2	2
122	с чем	2	2
123	в своем	5	2
124	себе не	2	2
125	что у	3	2
126	или даже	5	2
127	здесь и	3	2
128	точно так	3	2
129	она может	2	2
130	или иного	3	2
131	на первый	4	2
132	его как	3	2
133	что иное	4	2
134	по существу	2	2
135	только о	3	2
136	есть в	3	2
137	том или	3	2
138	и после	2	2
139	не что	4	2
140	для него	3	2
141	языка и	4	2
142	она не	3	2
143	некоторого рода	10	2
144	и потому	7	2
145	не имеет	9	2
146	сами по	6	2
147	в любом	3	2
148	жизни а	3	2
149	и до	2	2
150	который в	2	2
151	во всей	3	2
152	так же	5	2
153	как раз	8	2
154	к самому	2	2
155	в связи	7	2
156	и только	6	2
157	отношения к	3	2
158	не было	5	2
159	все эти	7	2
160	первый взгляд	2	2
161	этой точки	2	2
162	совершенно не	4	2
163	самом деле	3	2
164	к другой	2	2
165	что мы	8	2
166	того или	6	2
167	и для	2	2
168	с точки	2	2
169	это не	9	2
170	в таком	5	2
171	или в	4	2
172	можно было	4	2
173	в результате	2	2
174	тем более	3	2
175	однако в	2	2
176	или ином	2	2
177	всей его	2	2
178	не то	2	2
179	и ее	3	2
180	но как	4	2
181	говорить о	3	2
182	даже самое	2	2
183	этого слова	5	2
184	и все	3	2
185	жизни но	2	2
186	его в	3	2
187	зрения на	2	2
188	когда мы	15	2
189	ничего не	3	2
190	мы имеем	2	2
191	иное как	4	2
192	таком случае	4	2
193	о чем	2	2
