N	2gram	Nazirov_Tv_1	Hudozhes
1	и в	21	28
2	в рассказе	3	21
3	том что	11	19
4	и не	7	18
5	своего рода	4	16
6	в том	7	15
7	а не	5	14
8	не в	2	13
9	в этом	6	13
10	о том	6	12
11	перед нами	2	11
12	как и	12	11
13	при этом	7	11
14	в его	13	11
15	не только	7	11
16	уже не	3	10
17	не случайно	4	10
18	но и	3	9
19	в себе	2	9
20	в жизни	2	8
21	что он	6	8
22	может быть	5	8
23	так и	2	8
24	я не	3	7
25	жизни в	6	7
26	и все	6	7
27	к тому	2	7
28	об этом	2	7
29	в мире	4	7
30	в частности	2	7
31	что она	2	7
32	с ним	3	7
33	это не	4	6
34	можно сказать	2	6
35	в котором	6	6
36	то что	8	6
37	жизни и	3	6
38	в своей	4	6
39	то же	13	6
40	а в	6	6
41	и с	3	6
42	в то	15	6
43	я и	3	6
44	с его	11	5
45	и другие	3	5
46	не менее	6	5
47	у него	7	5
48	в своем	4	5
49	как бы	17	5
50	как в	8	5
51	с ее	3	5
52	в этой	5	5
53	что в	12	5
54	в самом	3	5
55	никогда не	3	5
56	только на	2	5
57	и его	6	5
58	для него	6	5
59	тем не	2	4
60	говорит о	3	4
61	то в	2	4
62	но не	3	4
63	в качестве	2	4
64	же время	12	4
65	вслед за	2	4
66	он не	8	4
67	в конечном	4	4
68	что и	2	4
69	и т	3	4
70	не может	4	4
71	человека в	6	4
72	как будто	5	4
73	только в	5	4
74	в человеке	4	3
75	конечном счете	4	3
76	с другой	3	3
77	человека и	4	3
78	что все	3	3
79	личности в	2	3
80	прежде всего	4	3
81	в нем	3	3
82	в соответствии	3	3
83	самом деле	2	3
84	одной из	4	3
85	по преимуществу	2	3
86	в ней	2	3
87	ли в	2	3
88	в этих	2	3
89	своего я	2	3
90	все это	10	3
91	не могу	2	3
92	отдельного человека	2	3
93	и он	2	3
94	так же	3	3
95	или в	2	3
96	и на	7	3
97	соответствии с	3	3
98	героя и	2	3
99	в основе	2	2
100	место в	3	2
101	он сам	6	2
102	отнюдь не	5	2
103	однако в	2	2
104	именно в	2	2
105	не столько	2	2
106	и от	4	2
107	гораздо более	2	2
108	в духе	2	2
109	вовсе не	5	2
110	а как	2	2
111	в финале	4	2
112	а по	2	2
113	личности не	2	2
114	что я	3	2
115	ее по	2	2
116	одна из	2	2
117	человеческих отношений	3	2
118	ибо в	2	2
119	это уже	5	2
120	мысль о	2	2
121	что не	2	2
122	не по	3	2
123	же и	2	2
124	к ней	2	2
125	если в	2	2
126	один из	4	2
127	все же	5	2
128	людей в	2	2
129	не будет	2	2
130	в первом	2	2
131	во второй	2	2
132	из них	2	2
133	вместе с	2	2
134	дело не	3	2
135	жизни с	2	2
136	данном случае	2	2
137	этой связи	2	2
138	мысли и	4	2
139	приводит к	2	2
140	т п	2	2
141	в двух	2	2
142	тем самым	7	2
143	жизни он	2	2
144	и у	2	2
145	который в	3	2
146	в принципе	2	2
147	хотя бы	5	2
148	той же	3	2
149	в данном	2	2
150	в любви	2	2
151	сказать что	2	2
152	потому что	5	2
153	личности и	2	2
154	в виде	3	2
155	не во	2	2
156	приходит к	3	2
157	страх перед	2	2
158	та же	4	2
159	но в	7	2
