N	2gram	Propp_Morf_1	Tvorches
1	и в	13	21
2	как бы	3	17
3	в то	3	15
4	то же	7	13
5	что в	8	12
6	как и	3	12
7	с его	2	11
8	том что	4	11
9	как в	3	8
10	он не	3	8
11	то что	8	8
12	в том	6	7
13	не только	4	7
14	и не	12	7
15	но в	2	7
16	что он	4	6
17	не менее	5	6
18	а в	7	6
19	в этом	14	6
20	о том	2	6
21	это уже	3	5
22	вовсе не	4	5
23	а не	11	5
24	но это	6	5
25	может быть	52	5
26	в этой	2	5
27	все же	7	5
28	таким образом	21	5
29	хотя бы	4	5
30	потому что	3	5
31	как будто	2	5
32	только в	2	5
33	та же	2	4
34	прежде всего	9	4
35	и как	5	4
36	в целом	3	4
37	один из	5	4
38	не может	14	4
39	это не	6	4
40	не существует	3	3
41	и другие	6	3
42	с другой	8	3
43	это и	2	3
44	но не	4	3
45	на его	4	3
46	но если	7	3
47	и т	41	3
48	не по	2	3
49	но и	4	3
50	дело не	2	3
51	который в	2	3
52	уже не	2	3
53	на самом	4	3
54	того что	3	3
55	и по	2	3
56	так же	3	3
57	в которой	3	3
58	хотя и	3	3
59	в виде	2	3
60	в россии	2	3
61	ту же	2	3
62	далеко не	5	3
63	представляет собой	17	3
64	так как	16	3
65	перед нами	10	2
66	в частности	2	2
67	однако в	2	2
68	в этих	13	2
69	в качестве	5	2
70	к этому	3	2
71	можно сказать	2	2
72	что и	7	2
73	в в	2	2
74	а по	3	2
75	что его	2	2
76	а затем	4	2
77	об этом	4	2
78	не в	3	2
79	то в	3	2
80	ее по	3	2
81	одна из	4	2
82	в глаза	2	2
83	от других	2	2
84	из них	3	2
85	к тому	4	2
86	если в	5	2
87	и тем	2	2
88	тем не	5	2
89	собой в	2	2
90	так и	6	2
91	приводит к	2	2
92	вслед за	5	2
93	вряд ли	2	2
94	что она	2	2
95	здесь мы	3	2
96	самом деле	4	2
97	только что	2	2
98	для этой	3	2
99	или в	4	2
100	сказать что	2	2
101	в первом	3	2
102	могут быть	16	2
103	в один	3	2
104	при помощи	9	2
105	настоящее время	3	2
106	значит что	3	2
