N	3gram	Savitsky_E_1	EvropaiC
1	в том что	6	16
2	друг с другом	3	9
3	с точки зрения	16	8
4	на то что	2	7
5	друг от друга	2	6
6	для того чтобы	5	6
7	по сравнению с	2	5
8	не может быть	2	4
9	с течением времени	2	4
10	с другой стороны	2	4
11	в данном случае	2	3
12	так же как	5	3
13	заключается в том	2	3
14	и качественной несоизмеримости	6	2
15	в то же	15	2
16	в свою очередь	2	2
17	то же время	14	2
18	с одной стороны	8	2
19	тех народов которые	2	2
20	то ни было	4	2
21	равноценности и качественной	7	2
22	заключает в себе	3	2
23	бы то ни	4	2
24	во всяком случае	3	2
25	рано или поздно	2	2
