N	2gram	Tiupa_Disk_1	EvropaiE
1	и в	16	37
2	в пределах	2	25
3	точки зрения	3	23
4	что в	4	21
5	не только	28	18
6	в то	3	16
7	хотя бы	3	15
8	то же	7	15
9	в своем	6	14
10	в качестве	34	14
11	же время	4	14
12	но и	14	14
13	и не	11	14
14	но в	8	14
15	в этом	15	12
16	в их	5	11
17	в том	23	11
18	так и	8	10
19	отнюдь не	8	9
20	прежде всего	11	9
21	не может	9	9
22	в себе	7	9
23	только в	7	9
24	к тому	5	8
25	в ее	3	8
26	одной стороны	9	8
27	в своей	5	8
28	с одной	9	8
29	между тем	4	8
30	как и	16	7
31	по своему	3	7
32	того что	3	7
33	а также	8	7
34	с другой	10	7
35	также и	3	7
36	том что	19	6
37	стороны и	2	6
38	может быть	17	6
39	как бы	5	6
40	то что	5	6
41	во всех	5	6
42	и даже	3	6
43	и на	5	6
44	то есть	20	6
45	в частности	9	5
46	столь же	3	5
47	не в	7	5
48	но не	11	5
49	одной из	4	5
50	со стороны	7	5
51	как мы	2	5
52	и по	2	5
53	и потому	3	5
54	именно в	3	4
55	или иной	5	4
56	можно сказать	5	4
57	в самом	3	4
58	той или	3	4
59	в процессе	5	4
60	по себе	3	4
61	сказать что	3	4
62	того или	2	4
63	мира в	3	4
64	и к	4	3
65	никогда не	2	3
66	жизни в	2	3
67	в них	4	3
68	на себя	2	3
69	по своим	4	3
70	представляет собой	17	3
71	в свою	3	3
72	того же	3	3
73	не более	2	3
74	в культуре	2	3
75	в данной	3	3
76	известной степени	2	3
77	из них	3	3
78	себе не	3	3
79	не является	4	3
80	и тем	2	3
81	что и	3	3
82	когда он	2	3
83	как в	10	3
84	к ним	3	3
85	в которых	4	3
86	потому что	4	3
87	во всяком	2	3
88	тем что	3	3
89	в данном	5	3
90	о том	8	3
91	ни столь	2	2
92	а не	22	2
93	в какой	2	2
94	во втором	4	2
95	и во	2	2
96	с этим	3	2
97	и все	2	2
98	в одном	2	2
99	для понимания	2	2
100	и того	3	2
101	и как	6	2
102	в силу	5	2
103	в сторону	4	2
104	есть в	2	2
105	свою очередь	3	2
106	но как	2	2
107	в сферу	3	2
108	не говоря	2	2
109	имеет место	3	2
110	в его	7	2
111	в котором	5	2
112	точка зрения	2	2
113	говоря уже	2	2
114	не есть	2	2
115	как не	3	2
116	данном случае	2	2
117	иначе говоря	2	2
118	целый ряд	2	2
119	что же	2	2
120	а в	5	2
121	таким образом	3	2
122	частности в	2	2
123	заключается в	3	2
124	и что	2	2
125	в значительной	2	2
126	более чем	2	2
127	другой стороны	3	2
128	как их	2	2
129	или в	2	2
130	в своих	3	2
131	хотя и	2	2
132	могут быть	4	2
133	к той	3	2
134	в этой	2	2
135	по своей	11	2
136	в истории	4	2
137	далеко не	10	2
138	между собой	2	2
139	заметить что	2	2
