N	2gram	Losev_Vesc_1	Morfolog
1	может быть	16	52
2	и т	19	49
3	т д	19	47
4	и пр	6	40
5	таким образом	8	20
6	не может	17	17
7	т е	55	16
8	с этим	3	14
9	и в	21	13
10	в этом	4	13
11	так как	7	12
12	перед нами	2	11
13	мы видим	2	11
14	прежде всего	9	9
15	так и	3	9
16	то же	6	9
17	и не	29	9
18	а не	19	9
19	мы имеем	7	9
20	с другой	6	8
21	а затем	2	8
22	по существу	2	8
23	что и	3	8
24	при помощи	2	8
25	в результате	3	8
26	но если	8	7
27	все же	4	7
28	это не	5	6
29	и здесь	4	6
30	в том	8	6
31	но не	5	6
32	а в	4	6
33	подобно тому	4	6
34	не менее	3	5
35	тому как	4	5
36	если мы	8	5
37	во всех	2	5
38	как бы	12	5
39	один из	3	5
40	то что	27	5
41	или в	2	5
42	потому что	16	5
43	мы не	6	5
44	что в	9	4
45	и как	8	4
46	вовсе не	10	4
47	об этом	3	4
48	тем не	3	4
49	было бы	14	4
50	не только	36	4
51	то это	3	4
52	как мы	4	4
53	другой стороны	2	4
54	как и	8	4
55	то мы	2	4
56	хотя и	4	4
57	тем что	2	4
58	точки зрения	5	4
59	с точки	3	4
60	могла бы	3	4
61	на этом	2	4
62	также и	6	4
63	его в	2	4
64	оно может	2	4
65	ничего не	3	4
66	только что	2	3
67	независимо от	5	3
68	и вне	2	3
69	если бы	5	3
70	с собой	2	3
71	том что	8	3
72	но это	10	3
73	что они	6	3
74	кроме того	4	3
75	того чтобы	3	3
76	в сущности	4	3
77	во втором	2	3
78	в первом	2	3
79	но и	18	3
80	от того	3	3
81	требует чтобы	4	3
82	самом деле	4	3
83	первом случае	2	3
84	и для	9	3
85	мы можем	4	3
86	из них	4	3
87	в руки	2	3
88	и ее	18	3
89	в то	3	3
90	мы должны	2	3
91	но в	5	3
92	значит что	24	3
93	с тем	5	2
94	его и	2	2
95	хотя бы	6	2
96	в собственном	2	2
97	можно сказать	6	2
98	в в	2	2
99	не с	7	2
100	из его	2	2
101	то в	4	2
102	только в	14	2
103	нельзя было	4	2
104	как таковая	2	2
105	есть и	4	2
106	момент в	6	2
107	для него	4	2
108	одной стороны	3	2
109	мы уже	3	2
110	но для	2	2
111	не значит	7	2
112	себя и	4	2
113	оно не	3	2
114	себя в	10	2
115	то как	2	2
116	собственном смысле	3	2
117	может не	2	2
118	есть нечто	6	2
119	и только	3	2
120	а с	3	2
121	с одной	3	2
122	все эти	3	2
123	и что	15	2
124	к себе	4	2
125	того что	8	2
126	для того	2	2
127	что такое	12	2
128	уже не	9	2
129	и его	2	2
130	можно было	2	2
131	является в	2	2
132	в другом	2	2
133	или не	2	2
134	что мы	14	2
135	о том	6	2
136	в свое	2	2
137	ясно что	8	2
138	одна из	5	2
139	сказать что	17	2
140	как это	2	2
141	живой и	2	2
