N	2gram	Losev_Dial_3	VrazhdaK
1	не только	23	9
2	в этом	8	8
3	и что	15	8
4	и в	24	8
5	но и	9	7
6	что в	7	7
7	то что	14	7
8	и все	6	7
9	в нем	3	6
10	все же	3	6
11	– это	6	6
12	и даже	13	6
13	как и	7	6
14	но в	2	6
15	и с	6	6
16	о нем	4	6
17	то же	6	5
18	не было	3	5
19	и не	27	5
20	у него	2	5
21	об этом	6	5
22	в то	5	5
23	же время	3	5
24	для нас	2	4
25	как бы	3	4
26	все это	6	4
27	целый ряд	2	4
28	это не	4	4
29	что он	13	4
30	так же	4	4
31	в своих	2	4
32	может быть	13	4
33	при этом	2	4
34	в истории	4	4
35	несмотря на	2	4
36	о том	6	4
37	в ней	2	4
38	в виду	7	4
39	я не	6	3
40	и уже	2	3
41	с его	2	3
42	в своем	3	3
43	что у	2	3
44	и во	2	3
45	что есть	4	3
46	о себе	2	3
47	т е	48	3
48	на то	3	3
49	и у	2	3
50	в том	5	3
51	и его	5	3
52	том что	8	3
53	и как	8	3
54	тем что	3	3
55	в его	2	3
56	и о	3	3
57	в чем	4	3
58	он не	5	3
59	и это	4	2
60	из них	3	2
61	не менее	11	2
62	никогда не	7	2
63	отнюдь не	10	2
64	в них	5	2
65	как раз	7	2
66	так в	2	2
67	не может	19	2
68	а в	2	2
69	таким образом	13	2
70	но это	5	2
71	уже не	5	2
72	на первый	4	2
73	и он	2	2
74	мы знаем	3	2
75	с точки	14	2
76	же в	2	2
77	как же	5	2
78	тем более	3	2
79	и то	4	2
80	же как	2	2
81	их в	2	2
82	но как	2	2
83	точки зрения	25	2
84	и ее	3	2
85	в себе	2	2
86	для него	4	2
87	еще не	2	2
88	его на	2	2
89	при помощи	3	2
90	одна из	3	2
91	личность и	2	2
