N	2gram	Bakhtin_fo_1	Psycholo
1	и в	50	38
2	то что	6	35
3	в том	9	25
4	в самом	8	25
5	что в	5	20
6	может быть	11	19
7	точки зрения	5	16
8	в ней	4	15
9	то есть	33	15
10	если бы	5	14
11	том что	4	14
12	как бы	2	14
13	и т	8	14
14	потому что	4	14
15	в этом	25	13
16	мы видим	3	12
17	было бы	2	12
18	не только	9	12
19	таким образом	11	12
20	не в	5	12
21	в сущности	3	10
22	то же	11	10
23	и не	14	10
24	и все	6	10
25	с точки	2	9
26	того чтобы	5	9
27	все же	6	8
28	с тем	3	8
29	с этим	6	8
30	в одном	3	8
31	вовсе не	13	8
32	для нас	2	8
33	как и	8	8
34	и как	10	8
35	как раз	13	8
36	для того	5	8
37	и то	4	8
38	и это	4	8
39	с другой	2	7
40	в ее	6	7
41	а не	3	7
42	не может	6	7
43	как мы	14	7
44	а в	3	7
45	мы уже	11	7
46	все то	2	7
47	к тому	3	6
48	с самого	2	6
49	до сих	3	6
50	бы совершенно	2	6
51	один из	3	6
52	в котором	4	6
53	не имеет	4	6
54	он не	5	6
55	с одной	3	6
56	так как	6	6
57	если мы	2	6
58	и его	16	6
59	и на	8	6
60	в которых	2	6
61	самого начала	2	6
62	ясно что	2	6
63	там где	2	6
64	в своем	4	5
65	одной стороны	2	5
66	совершенно не	2	5
67	в своей	2	5
68	время в	6	5
69	вместе с	3	5
70	но и	8	5
71	сих пор	3	5
72	т п	8	5
73	в той	4	5
74	или в	3	5
75	мы не	3	5
76	в его	13	5
77	так сказать	7	5
78	в которой	2	5
79	никогда не	2	4
80	в свою	2	4
81	при этом	3	4
82	и для	4	4
83	конечно не	4	4
84	во всех	6	4
85	в самой	2	4
86	в нем	24	4
87	что и	3	4
88	ее в	2	4
89	раз в	4	4
90	в целом	2	4
91	как в	6	4
92	в течение	2	4
93	все эти	9	4
94	того что	2	4
95	и даже	2	4
96	время как	5	4
97	сказать что	3	4
98	у него	6	4
99	только в	4	4
100	здесь совершенно	2	4
101	одна из	2	4
102	в себе	3	4
103	в виду	3	4
104	место в	2	3
105	в них	4	3
106	что все	2	3
107	к этому	3	3
108	и к	2	3
109	ни в	8	3
110	к концу	3	3
111	совсем не	2	3
112	того же	8	3
113	одно и	3	3
114	наряду с	5	3
115	мы говорили	3	3
116	в основе	5	3
117	был бы	3	3
118	как если	2	3
119	уже говорили	3	3
120	не к	2	3
121	все это	4	3
122	что не	3	3
123	в таком	3	3
124	к ним	2	3
125	тем что	2	3
126	далеко не	2	3
127	в то	9	3
128	его в	3	3
129	здесь не	4	3
130	но в	10	3
131	в данном	2	2
132	но они	3	2
133	не могут	3	2
134	всех этих	5	2
135	к своему	2	2
136	и другие	5	2
137	можно назвать	2	2
138	была бы	2	2
139	в этих	3	2
140	отнюдь не	5	2
141	между собой	4	2
142	из нее	2	2
143	в глаза	2	2
144	хотя бы	2	2
145	и во	7	2
146	во всяком	3	2
147	друг другу	2	2
148	и ее	3	2
149	или не	2	2
150	же в	3	2
151	до конца	4	2
152	уже не	2	2
153	по существу	12	2
154	своей жизни	4	2
155	у них	2	2
156	есть в	2	2
157	есть именно	2	2
158	то время	4	2
159	здесь в	2	2
160	для него	2	2
161	и может	2	2
162	со всеми	3	2
163	со своей	3	2
164	они не	3	2
165	например в	6	2
166	но он	2	2
167	по преимуществу	3	2
168	по самому	2	2
169	и дает	3	2
170	к ней	2	2
171	и уже	3	2
172	с ее	6	2
173	места в	2	2
174	все другие	2	2
175	имеет место	3	2
176	всего этого	2	2
177	так же	6	2
178	отношения к	3	2
179	еще и	2	2
180	для всех	2	2
181	и по	2	2
182	есть только	2	2
183	той же	2	2
184	в качестве	3	2
185	в конце	9	2
186	не имеют	3	2
187	их в	3	2
188	автора и	2	2
189	и следовательно	4	2
190	одно из	3	2
191	к себе	4	2
192	в истории	2	2
193	всего того	3	2
194	этими двумя	3	2
195	с ним	2	2
196	ничего не	9	2
