N	2gram	Savitsky_P_1	Mirosoze
1	и в	14	46
2	в нем	3	22
3	может быть	5	21
4	в этом	10	20
5	и не	12	18
6	не только	17	18
7	но и	6	15
8	не может	4	15
9	а не	2	13
10	прежде всего	3	12
11	потому что	3	12
12	не было	2	11
13	в ней	6	11
14	но в	9	10
15	в себе	3	10
16	не в	5	9
17	и есть	2	8
18	как бы	4	8
19	в своем	4	8
20	в мире	2	7
21	и к	4	7
22	и потому	4	7
23	хотя бы	8	7
24	того что	2	6
25	в русской	4	6
26	то же	9	5
27	в отношении	10	5
28	и вот	2	5
29	это не	3	5
30	есть не	2	5
31	то что	4	5
32	для того	3	5
33	в его	2	5
34	и это	2	5
35	русский народ	2	5
36	что в	4	4
37	в русском	2	4
38	в жизни	2	4
39	думать что	2	4
40	том что	4	4
41	т е	3	4
42	к чему	2	4
43	в судьбах	6	3
44	в том	9	3
45	было в	2	3
46	духа и	2	3
47	и с	2	3
48	в россии	3	3
49	если бы	4	3
50	в них	2	3
51	русской революции	2	3
52	только в	7	3
53	отношении к	5	3
54	есть в	2	3
55	быть может	6	2
56	я и	3	2
57	да и	2	2
58	и если	4	2
59	она есть	3	2
60	хотя и	3	2
61	в сфере	2	2
62	только это	2	2
63	не к	2	2
64	отношения к	2	2
65	и других	2	2
66	должно быть	2	2
67	а в	4	2
68	не о	2	2
69	точки зрения	3	2
70	между тем	3	2
71	революция есть	4	2
72	по себе	4	2
73	тот же	3	2
74	мысль о	2	2
75	во всех	2	2
76	россии и	4	2
77	еще более	2	2
78	более чем	2	2
