N	2gram	Losev_Prob_4	Mirosoze
1	и в	20	46
2	у достоевского	4	34
3	в нем	5	22
4	может быть	9	21
5	в этом	9	20
6	для него	3	18
7	и не	28	18
8	не только	24	18
9	но и	14	15
10	не может	5	15
11	человека в	3	14
12	как и	6	13
13	не есть	12	13
14	а не	7	13
15	прежде всего	11	12
16	друг друга	2	12
17	потому что	15	12
18	не было	3	11
19	в ней	7	11
20	у нас	14	11
21	и он	2	11
22	но в	8	10
23	он не	2	10
24	в себе	12	10
25	он был	3	9
26	не в	13	9
27	и есть	4	8
28	но это	6	8
29	как бы	4	8
30	в своем	3	8
31	так как	5	8
32	на земле	2	8
33	в этой	4	7
34	в нашем	12	7
35	что он	8	7
36	и к	3	7
37	и потому	7	7
38	как в	5	7
39	хотя бы	7	7
40	и для	4	7
41	что это	2	6
42	так же	5	6
43	жизни и	5	6
44	то же	7	5
45	бы и	3	5
46	в отношении	4	5
47	в самом	2	5
48	что она	4	5
49	это не	7	5
50	в конце	2	5
51	и все	8	5
52	есть не	6	5
53	во всем	2	5
54	к тому	3	5
55	по преимуществу	2	5
56	то что	15	5
57	в своей	4	5
58	для того	3	5
59	и его	10	5
60	образ и	2	5
61	в его	3	5
62	и это	2	5
63	что в	3	4
64	они и	2	4
65	для этого	2	4
66	нет в	2	4
67	только и	5	4
68	не имеет	4	4
69	также и	13	4
70	с его	2	4
71	в жизни	3	4
72	том что	12	4
73	что и	3	4
74	себя в	2	4
75	так и	10	4
76	уже не	5	4
77	того чтобы	2	4
78	жизнь и	4	4
79	можно ли	3	3
80	и от	6	3
81	на все	2	3
82	и можно	5	3
83	ни в	17	3
84	в том	20	3
85	что они	2	3
86	смысле слова	15	3
87	что всякий	3	3
88	жизни в	2	3
89	не так	3	3
90	и на	3	3
91	сказать что	7	3
92	и с	7	3
93	что иное	2	3
94	о том	5	3
95	его в	2	3
96	нет ничего	3	3
97	с ним	4	3
98	иное как	2	3
99	не существует	5	3
100	если бы	8	3
101	в них	5	3
102	и во	4	3
103	не что	2	3
104	это и	4	3
105	не будет	2	3
106	и тогда	2	3
107	все равно	3	3
108	чтобы не	2	3
109	идея и	3	3
110	тем что	3	3
111	только в	23	3
112	есть в	7	3
113	в чем	2	3
114	уже в	4	2
115	в этих	5	2
116	всегда есть	4	2
117	или иной	13	2
118	но эта	2	2
119	все время	2	2
120	да и	5	2
121	верит в	2	2
122	так что	6	2
123	это есть	3	2
124	человеческая жизнь	2	2
125	и если	5	2
126	на его	2	2
127	такого рода	7	2
128	хотя и	5	2
129	же и	3	2
130	к нему	3	2
131	не к	2	2
132	но она	3	2
133	в разных	4	2
134	а в	4	2
135	точки зрения	14	2
136	приходит к	2	2
137	но этот	2	2
138	нет ни	4	2
139	о великом	2	2
140	были бы	3	2
141	с собой	3	2
142	то он	2	2
143	себе в	3	2
144	если он	2	2
145	по себе	11	2
146	то в	2	2
147	связи с	3	2
148	и что	2	2
149	тот же	2	2
150	себе и	3	2
151	во всех	4	2
152	к ней	2	2
153	вместе с	5	2
154	не хотел	2	2
155	то перед	2	2
156	человеческой жизни	5	2
157	еще более	2	2
158	к своему	2	2
159	говорит что	2	2
160	что не	4	2
161	можно было	4	2
162	сам по	6	2
163	правда в	3	2
164	сознания и	3	2
165	как будто	11	2
166	в идиоте	2	2
167	это все	2	2
168	в которой	2	2
