N	2gram	Losev_Vlad_2	FransuaR
1	и в	30	41
2	то есть	7	20
3	таким образом	3	19
4	в этом	20	15
5	и все	7	14
6	как и	5	14
7	в этой	4	13
8	то же	4	13
9	все эти	5	13
10	мы уже	2	12
11	в его	11	12
12	прежде всего	6	11
13	в том	18	11
14	как мы	11	11
15	в себе	6	11
16	так и	5	10
17	все это	5	10
18	в то	9	10
19	и его	6	9
20	не в	9	9
21	же время	3	9
22	но и	8	9
23	в своем	8	9
24	что в	12	9
25	в конце	13	8
26	и от	2	8
27	по существу	3	8
28	то что	20	8
29	но в	8	8
30	в них	3	7
31	вовсе не	4	7
32	как бы	5	7
33	в нем	4	7
34	и не	18	7
35	у него	19	6
36	это не	2	6
37	ни в	7	6
38	для него	9	6
39	и до	2	6
40	только в	6	6
41	о том	4	6
42	уже в	3	5
43	к этому	6	5
44	не только	12	5
45	и к	6	5
46	на этом	2	5
47	в ней	4	5
48	вместе с	8	5
49	что и	3	5
50	мы видели	2	5
51	как в	3	5
52	того как	2	5
53	в году	24	5
54	а в	11	5
55	к нему	2	5
56	и для	3	5
57	так же	4	5
58	точки зрения	7	5
59	и это	3	5
60	потому что	9	5
61	на земле	2	4
62	что это	4	4
63	хотя и	6	4
64	но он	3	4
65	том что	12	4
66	но все	2	4
67	после того	2	4
68	было бы	9	4
69	в сущности	2	4
70	может быть	7	4
71	он не	4	4
72	в виду	2	4
73	как я	2	4
74	и наконец	4	4
75	должно быть	3	4
76	и на	4	4
77	в более	2	4
78	и с	14	4
79	он дает	2	4
80	конце концов	3	4
81	ничего не	2	4
82	я не	4	3
83	и есть	2	3
84	в отношении	3	3
85	того же	5	3
86	и потому	2	3
87	это в	3	3
88	он был	6	3
89	но это	4	3
90	свою очередь	2	3
91	совсем не	4	3
92	в своей	5	3
93	есть и	2	3
94	в свою	3	3
95	кроме того	9	3
96	при этом	5	3
97	в это	4	3
98	несмотря на	4	3
99	о нем	2	3
100	что он	13	3
101	жизни и	6	3
102	во всех	3	3
103	в их	2	3
104	не может	9	3
105	не было	10	3
106	в той	2	3
107	к брату	2	3
108	с точки	3	3
109	не имеет	2	3
110	и по	2	3
111	той же	4	3
112	можно было	2	3
113	нас в	2	3
114	не на	2	3
115	было написано	2	3
116	его в	4	3
117	так как	5	3
118	учение о	3	2
119	с его	4	2
120	именно в	4	2
121	но по	2	2
122	с начала	2	2
123	никогда не	7	2
124	в этих	4	2
125	другими словами	5	2
126	и во	2	2
127	с этим	5	2
128	все существующее	4	2
129	в следующем	3	2
130	к тому	2	2
131	и как	3	2
132	более или	3	2
133	по своему	2	2
134	до конца	7	2
135	отношение к	4	2
136	тот же	5	2
137	того что	5	2
138	и может	2	2
139	а также	10	2
140	не есть	4	2
141	же в	2	2
142	начала и	2	2
143	во второй	2	2
144	время в	4	2
145	был в	2	2
146	или менее	3	2
147	первых двух	2	2
148	в связи	8	2
149	в течение	5	2
150	еще более	3	2
151	и вот	3	2
152	не мог	8	2
153	а не	7	2
154	уже не	3	2
155	те кто	2	2
156	мы не	2	2
157	в данном	3	2
158	и то	5	2
159	в результате	5	2
160	их в	2	2
161	во всяком	6	2
162	которой он	2	2
163	также и	6	2
164	как он	2	2
165	дело в	3	2
166	мы сейчас	3	2
167	года он	10	2
168	в чем	2	2
169	в которой	4	2
170	с ним	5	2
171	в области	3	2
172	это было	4	2
