N	2gram	Losev_Dial_3	RusskieA
1	и в	24	29
2	т е	48	24
3	что в	7	22
4	том что	8	22
5	в том	5	22
6	как бы	3	18
7	может быть	13	13
8	так как	6	13
9	как и	7	11
10	одна из	3	11
11	в этом	8	11
12	все это	6	10
13	е в	4	10
14	и с	6	10
15	не только	23	10
16	о том	6	9
17	а в	2	9
18	показывает что	2	8
19	но и	9	8
20	ее в	2	8
21	или в	2	7
22	мы не	5	6
23	же в	2	6
24	еще не	2	6
25	для того	3	6
26	для нас	2	6
27	таким образом	13	6
28	при этом	2	6
29	и на	3	6
30	в данном	2	6
31	потому что	7	5
32	это не	4	5
33	то что	14	5
34	и что	15	5
35	но не	2	5
36	для этого	2	5
37	и т	24	5
38	не может	19	5
39	или же	3	5
40	т д	23	5
41	но в	2	5
42	именно в	2	4
43	в них	5	4
44	и все	6	4
45	тогда когда	5	4
46	вопрос о	5	4
47	уже не	5	4
48	по существу	2	4
49	так что	8	4
50	не в	3	4
51	из них	3	4
52	как объяснить	2	4
53	к нему	3	4
54	же как	2	4
55	так же	4	4
56	то и	3	4
57	то же	6	4
58	у нас	4	4
59	на них	2	4
60	а не	26	4
61	в таком	14	4
62	их в	2	4
63	в виде	8	4
64	как это	5	4
65	на этом	2	3
66	тем что	3	3
67	и от	3	3
68	на первый	4	3
69	как например	2	3
70	она не	3	3
71	того что	12	3
72	было бы	5	3
73	руки и	2	3
74	и о	3	3
75	нас к	2	3
76	что она	9	3
77	но если	6	3
78	не имеет	11	3
79	в природе	2	3
80	только тогда	3	3
81	а именно	2	3
82	что для	5	3
83	все эти	3	3
84	и по	2	3
85	друг друга	3	3
86	как мы	2	3
87	тому как	4	3
88	подобно тому	4	3
89	что это	12	3
90	где есть	2	3
91	не менее	11	2
92	с этой	5	2
93	говорить что	4	2
94	об этом	6	2
95	могут быть	2	2
96	никогда не	7	2
97	в разные	2	2
98	из нее	2	2
99	с другой	4	2
100	из этих	2	2
101	он есть	3	2
102	прежде всего	8	2
103	нет никаких	2	2
104	не что	6	2
105	что и	6	2
106	говорит о	4	2
107	это и	7	2
108	кроме того	6	2
109	и как	8	2
110	то время	4	2
111	одной стороны	3	2
112	только как	5	2
113	и пр	6	2
114	совершенно не	2	2
115	тем не	10	2
116	из этого	2	2
117	в виду	7	2
118	но она	3	2
119	все же	3	2
120	ее от	2	2
121	природы и	2	2
122	в их	2	2
123	не было	3	2
124	с одной	3	2
125	обе стороны	2	2
126	из которых	3	2
127	и для	2	2
128	должно быть	3	2
129	жизнь и	4	2
130	так в	2	2
131	быть только	2	2
132	в своих	2	2
133	и то	4	2
134	людей и	2	2
135	одно из	5	2
136	с этим	3	2
137	на себя	3	2
138	и ее	3	2
139	что иное	6	2
140	во всем	3	2
141	в то	5	2
142	так чтобы	2	2
143	когда мы	2	2
144	есть в	3	2
145	иное как	6	2
146	не можем	2	2
