N	2gram	Losev_Vlad_1	RusskieA
1	и в	31	36
2	а а	4	25
3	не только	24	22
4	что в	14	19
5	том что	14	19
6	а н	2	18
7	в том	11	17
8	но и	19	16
9	так как	8	15
10	во время	3	14
11	и м	2	14
12	в этом	14	12
13	в этот	4	10
14	как мы	9	10
15	как и	4	10
16	и т	2	10
17	вместе с	3	10
18	и на	3	10
19	потому что	11	10
20	об этом	7	9
21	т д	2	9
22	а в	9	9
23	с тем	2	8
24	у нас	6	8
25	мы увидим	3	8
26	из них	2	8
27	может быть	6	8
28	один из	4	8
29	и по	8	8
30	е в	7	8
31	о том	11	8
32	как это	7	8
33	что они	3	7
34	что и	5	7
35	так и	6	7
36	и других	2	7
37	и не	17	6
38	для нас	4	6
39	так например	2	6
40	при этом	2	6
41	в них	2	6
42	уже не	3	6
43	таким образом	3	6
44	все это	5	6
45	в виде	3	6
46	то что	18	6
47	видно что	5	6
48	все же	3	5
49	в течение	9	5
50	и у	4	5
51	с ними	2	5
52	как в	3	5
53	там же	13	5
54	в эти	7	4
55	из этих	2	4
56	к этому	6	4
57	в тех	2	4
58	к тому	3	4
59	что на	2	4
60	по существу	2	4
61	еще не	2	4
62	еще в	4	4
63	и а	2	4
64	в россии	4	4
65	с в	3	4
66	не может	6	4
67	в связи	3	4
68	а с	5	4
69	и что	6	4
70	того что	2	4
71	что этот	3	4
72	но это	3	4
73	тем что	2	4
74	только в	9	4
75	не менее	2	3
76	начиная с	2	3
77	к жизни	2	3
78	по этому	2	3
79	в качестве	6	3
80	в своем	4	3
81	и к	6	3
82	увидим ниже	3	3
83	тем не	2	3
84	в москве	8	3
85	на этом	2	3
86	в это	2	3
87	несмотря на	4	3
88	только на	3	3
89	а также	5	3
90	и из	3	3
91	не будем	2	3
92	то же	6	3
93	всякого рода	2	3
94	на этот	6	3
95	ко времени	2	3
96	ничего не	3	3
97	точки зрения	2	3
98	то есть	3	3
99	не было	5	2
100	в частности	2	2
101	но даже	2	2
102	в нашем	4	2
103	что у	4	2
104	и потому	6	2
105	главным образом	4	2
106	н г	4	2
107	на все	2	2
108	его к	2	2
109	в нем	4	2
110	у него	15	2
111	в в	3	2
112	в жизни	3	2
113	он был	14	2
114	судить по	2	2
115	так что	10	2
116	и как	4	2
117	в дальнейшем	8	2
118	и н	3	2
119	но не	3	2
120	но что	3	2
121	не были	2	2
122	отнюдь не	3	2
123	когда он	5	2
124	на что	2	2
125	в его	12	2
126	в доме	7	2
127	именно с	2	2
128	года в	3	2
129	и с	14	2
130	года на	2	2
131	в целом	3	2
132	в москву	2	2
133	и до	2	2
134	но она	3	2
135	что она	2	2
136	и и	7	2
137	в особенности	4	2
138	между прочим	11	2
139	все эти	3	2
140	в году	30	2
141	и для	2	2
142	с ним	5	2
143	тут же	7	2
144	в своих	5	2
145	он так	2	2
146	хотя и	4	2
147	к ней	4	2
148	на себя	3	2
149	это время	3	2
150	и здесь	3	2
151	но в	12	2
152	мы должны	2	2
153	москве и	3	2
154	как он	4	2
