N	3gram	Vinokur_St_1	KulturaY
1	и т п	9	24
2	и т д	21	14
3	в том что	17	10
4	можно было бы	8	9
5	с точки зрения	8	8
6	для того чтобы	10	8
7	с другой стороны	6	7
8	в самом деле	5	7
9	то обстоятельство что	2	7
10	по крайней мере	2	6
11	во всяком случае	6	5
12	тем не менее	2	5
13	не только в	4	4
14	не может быть	5	4
15	в этой области	5	4
16	в этом отношении	7	3
17	в то же	4	3
18	то же время	4	3
19	на то что	4	2
20	то или иное	3	2
21	так же как	3	2
22	и в самом	3	2
23	хотя бы и	2	2
24	в свое время	2	2
25	т п в	3	2
26	дело не в	2	2
27	и в том	2	2
28	но все же	3	2
29	но также и	4	2
30	на самом деле	6	2
31	того или иного	4	2
32	в этом случае	2	2
33	в данном отношении	5	2
34	только в том	3	2
35	так или иначе	2	2
