N	2gram	Berdyaev_V_1	Myshleni
1	в том	3	28
2	и в	16	28
3	то что	9	28
4	в этом	4	27
5	того что	5	24
6	потому что	4	22
7	том что	2	19
8	что он	4	18
9	только в	2	18
10	что в	3	17
11	не только	2	16
12	тому что	3	11
13	и не	20	11
14	как бы	5	11
15	что мы	4	11
16	к тому	3	10
17	но и	5	10
18	так как	9	10
19	но не	2	10
20	того чтобы	2	10
21	никогда не	3	8
22	еще не	8	8
23	тем что	2	8
24	в нем	4	7
25	можно было	2	7
26	и что	3	6
27	для него	2	6
28	не имеет	3	6
29	как и	4	6
30	так и	4	6
31	мы не	2	6
32	в чем	3	6
33	не могут	2	5
34	это не	2	5
35	и все	4	5
36	но в	3	5
37	что все	4	5
38	с тем	2	5
39	могут быть	2	5
40	не могли	2	5
41	не в	3	4
42	мы и	2	4
43	оно не	3	4
44	что и	3	4
45	во всех	3	4
46	и то	2	4
47	что их	2	3
48	до того	2	3
49	это мы	2	3
50	хотя и	5	3
51	но мы	2	3
52	от этого	3	3
53	с его	3	3
54	в них	3	3
55	один из	2	3
56	в его	4	3
57	в себя	2	3
58	а не	7	3
59	в этих	3	2
60	в конце	3	2
61	прежде всего	2	2
62	для нас	2	2
63	но это	3	2
64	вместо того	2	2
65	в котором	4	2
66	все это	5	2
67	все эти	3	2
68	на том	2	2
69	от него	2	2
70	с ним	2	2
71	не с	2	2
72	над ними	2	2
73	в своей	3	2
74	ее в	2	2
75	а в	2	2
76	вот почему	2	2
77	что я	3	2
78	за ним	3	2
79	что они	7	2
