N	2gram	Tiupa_Hudo_2	StatiiOP
1	и в	28	44
2	в том	15	36
3	и т	4	30
4	что в	5	30
5	том что	19	29
6	т д	2	21
7	в этом	13	21
8	вовсе не	2	19
9	то что	6	18
10	не только	11	18
11	было бы	3	17
12	а в	6	17
13	о том	12	17
14	и не	18	16
15	а не	14	16
16	т е	2	15
17	может быть	8	15
18	в данном	2	14
19	как в	5	13
20	можно было	3	13
21	не в	13	12
22	в тексте	5	12
23	в этой	5	11
24	самом деле	3	11
25	того чтобы	4	11
26	точки зрения	2	11
27	для того	4	10
28	что он	8	10
29	но и	9	10
30	но в	2	10
31	только в	4	10
32	с другой	3	9
33	если бы	6	9
34	в то	6	9
35	как и	11	9
36	т п	2	9
37	во второй	2	9
38	так и	8	9
39	в его	11	9
40	все же	2	8
41	из них	2	8
42	не может	4	8
43	и его	5	8
44	это не	6	8
45	с точки	2	8
46	я не	7	7
47	и об	2	7
48	прежде всего	3	7
49	по поводу	3	7
50	в самом	5	7
51	для нас	3	7
52	сих пор	2	7
53	до сих	2	7
54	сказать что	2	7
55	что они	4	7
56	потому что	2	6
57	из этих	2	6
58	для него	5	6
59	что и	4	6
60	в своей	6	6
61	данном случае	2	6
62	со стороны	3	6
63	что же	2	6
64	именно в	2	6
65	хотя бы	2	6
66	не менее	5	5
67	никогда не	5	5
68	была бы	3	5
69	так же	3	5
70	в котором	6	5
71	в нем	3	5
72	жизни и	6	5
73	все это	3	5
74	той же	2	5
75	то же	6	5
76	и то	2	5
77	тем что	6	5
78	что это	5	4
79	в частности	7	4
80	столь же	3	4
81	что она	7	4
82	гораздо более	2	4
83	или иного	2	4
84	бы и	4	4
85	в ее	18	4
86	же время	4	4
87	в качестве	4	4
88	того или	2	4
89	же и	2	4
90	как раз	4	4
91	как бы	5	4
92	дело не	2	4
93	не было	6	4
94	что у	3	4
95	во втором	2	4
96	как будто	4	4
97	как это	7	4
98	том как	2	4
99	в основе	2	3
100	а с	3	3
101	тому что	4	3
102	для себя	6	3
103	и с	6	3
104	не является	2	3
105	в г	2	3
106	да и	5	3
107	об этом	7	3
108	то в	4	3
109	же как	2	3
110	но не	4	3
111	еще не	3	3
112	что не	2	3
113	своего рода	16	3
114	и для	2	3
115	не по	2	3
116	в ней	3	3
117	не все	3	3
118	его жизни	5	3
119	отношению к	7	3
120	ни с	2	3
121	говорит о	4	3
122	внимание на	3	3
123	по отношению	7	3
124	и только	2	3
125	в виде	2	3
126	с одной	3	3
127	в двух	2	3
128	о которой	2	3
129	лишь в	2	3
130	в другом	2	3
131	будто бы	3	3
132	ответ на	2	3
133	между тем	8	3
134	что все	3	2
135	бы не	3	2
136	а как	2	2
137	которая была	2	2
138	в этих	3	2
139	в своем	5	2
140	превращается в	4	2
141	как о	3	2
142	на свой	2	2
143	только тем	2	2
144	что на	3	2
145	раз в	3	2
146	всякий раз	3	2
147	при этом	11	2
148	говорит в	2	2
149	она не	5	2
150	одной стороны	3	2
151	но именно	2	2
152	и сам	5	2
153	несмотря на	3	2
154	знает и	2	2
155	а также	2	2
156	если в	2	2
157	я с	2	2
158	к числу	2	2
159	и уже	4	2
160	тем не	4	2
161	в первом	2	2
162	отношение к	2	2
163	на него	3	2
164	и тогда	2	2
165	еще и	2	2
166	о них	3	2
167	тем самым	2	2
168	более чем	2	2
169	и у	2	2
170	ни одного	2	2
171	по его	3	2
172	в других	4	2
173	ничего не	5	2
174	дело с	2	2
175	писателя в	2	2
176	у него	5	2
177	однако и	2	2
178	одно из	5	2
179	он не	4	2
180	в себе	9	2
181	говорить о	2	2
182	не могла	5	2
183	и все	7	2
184	его в	2	2
185	и это	3	2
186	ли в	3	2
187	к нему	3	2
