N	2gram	Losev_Dial_3	Poddanst
1	не только	23	17
2	и в	24	14
3	и не	27	12
4	в этом	8	10
5	то же	6	9
6	в том	5	9
7	но в	2	9
8	хотя бы	4	8
9	же время	3	7
10	в то	5	7
11	только в	5	7
12	быть может	3	6
13	но и	9	6
14	в ней	2	6
15	в смысле	2	6
16	было бы	5	6
17	с другой	4	5
18	а я	2	5
19	не в	3	5
20	и пр	6	5
21	и о	3	5
22	может быть	13	5
23	же в	2	4
24	то что	14	4
25	что в	7	4
26	если бы	6	4
27	в своем	3	4
28	не может	19	4
29	по себе	20	4
30	и к	5	4
31	а в	2	4
32	том что	8	4
33	и если	2	4
34	как бы	3	4
35	и потому	2	4
36	сами по	3	3
37	в нем	3	3
38	и т	24	3
39	в сравнении	3	3
40	она есть	10	3
41	и без	3	3
42	это не	4	3
43	с одной	3	3
44	т е	48	3
45	прежде всего	8	3
46	тем самым	3	3
47	для того	3	3
48	с точки	14	3
49	мы не	5	3
50	сравнении с	3	3
51	и как	8	3
52	но не	2	3
53	могут быть	2	3
54	точки зрения	25	3
55	в себе	2	3
56	что мы	8	3
57	одной стороны	3	3
58	потому что	7	3
59	хотя и	5	3
60	я и	2	3
61	не менее	11	2
62	и тем	2	2
63	именно в	2	2
64	и есть	16	2
65	в частности	2	2
66	отнюдь не	10	2
67	тем более	3	2
68	со стороны	2	2
69	в них	5	2
70	но о	2	2
71	есть нечто	23	2
72	все это	6	2
73	может ли	3	2
74	как раз	7	2
75	с этим	3	2
76	может и	2	2
77	именно как	3	2
78	думать что	2	2
79	и вот	2	2
80	а не	26	2
81	того что	12	2
82	должно быть	3	2
83	для нас	2	2
84	как на	5	2
85	говорить о	4	2
86	есть не	9	2
87	есть в	3	2
88	одна из	3	2
89	в силу	3	2
90	в виде	8	2
91	не было	3	2
92	из них	3	2
93	например в	2	2
94	и это	4	2
95	никак не	2	2
96	не о	2	2
97	в его	2	2
98	и с	6	2
