N	2gram	Savitsky_E_1	Sovremen
1	не может	9	17
2	точки зрения	23	12
3	может быть	6	12
4	таким образом	2	11
5	мы не	4	9
6	не можем	2	7
7	в этом	12	7
8	и в	37	7
9	и не	14	6
10	как и	7	6
11	в результате	3	6
12	мы можем	3	6
13	что же	2	5
14	прежде всего	9	5
15	и наконец	2	5
16	с точки	17	5
17	как бы	6	4
18	в развитии	2	4
19	мы видели	3	4
20	жизни и	2	4
21	вместе с	2	4
22	а в	2	4
23	вопрос о	4	4
24	не только	18	4
25	в том	11	4
26	из них	3	4
27	мы должны	2	4
28	так как	7	4
29	отнюдь не	9	3
30	между собой	2	3
31	то же	15	3
32	а не	2	3
33	и к	3	3
34	для нас	4	3
35	не в	5	3
36	в этой	2	3
37	было бы	8	3
38	и мы	3	3
39	в одном	2	3
40	и все	2	3
41	в себе	9	3
42	в области	11	3
43	но в	14	3
44	и потому	5	3
45	не могут	2	2
46	что это	2	2
47	в виде	5	2
48	в некоторых	2	2
49	и во	2	2
50	что все	2	2
51	с одной	8	2
52	еще более	2	2
53	как мы	5	2
54	в свою	3	2
55	или иной	4	2
56	и что	2	2
57	на этот	2	2
58	и даже	6	2
59	и по	5	2
60	то ни	4	2
61	мы видим	2	2
62	в таком	3	2
63	такой же	2	2
64	во всяком	3	2
65	свою очередь	2	2
66	могут быть	2	2
67	с этим	2	2
68	что в	21	2
69	не дает	3	2
70	с другом	3	2
71	в самом	4	2
72	друг с	3	2
73	в его	2	2
74	всяком случае	3	2
