N	2gram	Vygotskiy__4	Otkroven
1	у него	2	22
2	и в	20	19
3	но и	9	13
4	и не	8	13
5	в этом	24	12
6	а не	7	11
7	не в	4	11
8	может быть	12	11
9	не только	15	11
10	в нем	2	10
11	никогда не	5	9
12	потому что	12	9
13	прежде всего	2	9
14	и он	2	8
15	в его	11	7
16	как и	9	6
17	то что	15	5
18	а в	2	5
19	в том	42	5
20	для него	2	5
21	в этой	3	5
22	в самом	6	5
23	того чтобы	7	4
24	и его	5	4
25	все эти	5	4
26	не может	6	4
27	что в	19	4
28	к нему	2	3
29	не могут	3	3
30	в этих	3	3
31	мысли и	2	3
32	это не	5	3
33	что он	6	3
34	различие между	3	3
35	того что	10	3
36	для того	5	3
37	еще не	2	3
38	и от	3	3
39	могут быть	7	3
40	в себе	10	3
41	было бы	8	3
42	когда он	3	3
43	о том	5	3
44	как бы	7	3
45	уже в	6	2
46	все же	5	2
47	что и	9	2
48	не есть	2	2
49	и для	4	2
50	с тем	6	2
51	в истории	10	2
52	ничего кроме	2	2
53	так и	5	2
54	в своем	4	2
55	что все	3	2
56	к этому	4	2
57	и к	5	2
58	не имеет	2	2
59	должно быть	3	2
60	в которой	3	2
61	том что	35	2
62	так что	3	2
63	и на	6	2
64	и то	10	2
65	что они	14	2
66	сказать что	6	2
67	и с	4	2
68	чем в	3	2
69	тем что	7	2
70	его в	6	2
71	в своей	7	2
72	так как	10	2
73	которую он	2	2
74	но в	3	2
