N	2gram	Berdyaev_V_1	Dialekti
1	не есть	6	54
2	и не	20	27
3	а не	7	26
4	и в	16	24
5	и т	2	24
6	не только	2	23
7	т д	2	23
8	и есть	4	16
9	и что	3	15
10	что все	4	14
11	то что	9	14
12	что он	4	13
13	того что	5	12
14	не имеет	3	11
15	ни в	3	9
16	то это	3	9
17	но и	5	9
18	нет ничего	3	9
19	прежде всего	2	8
20	что мы	4	8
21	том что	2	8
22	в этом	4	8
23	что в	3	7
24	никогда не	3	7
25	потому что	4	7
26	как и	4	7
27	должна быть	3	6
28	все это	5	6
29	так как	9	6
30	превращается в	3	6
31	и все	4	6
32	оно не	3	6
33	что и	3	6
34	в том	3	5
35	но это	3	5
36	хотя и	5	5
37	жизни и	3	5
38	в них	3	5
39	так и	4	5
40	и тогда	2	5
41	уже не	2	5
42	что не	4	5
43	мы не	2	5
44	личности и	3	5
45	только в	2	5
46	тому что	3	4
47	это не	2	4
48	не могут	2	4
49	к тому	3	4
50	хотя бы	3	4
51	что есть	5	4
52	нет и	2	4
53	говорить о	4	4
54	в истории	8	4
55	истории и	2	4
56	конечно не	2	4
57	в чем	3	4
58	и то	2	4
59	мы и	2	4
60	и это	2	4
61	для него	2	4
62	не было	3	3
63	и я	4	3
64	не в	3	3
65	в нем	4	3
66	все эти	3	3
67	должно быть	3	3
68	мир и	2	3
69	тем что	2	3
70	на себя	5	3
71	одна из	2	3
72	все что	4	3
73	не будет	2	3
74	как бы	5	3
75	если не	3	3
76	что их	2	2
77	вечность и	2	2
78	для нас	2	2
79	свою личность	4	2
80	еще не	8	2
81	вопросе о	2	2
82	личность как	2	2
83	его не	2	2
84	а в	2	2
85	людей и	2	2
86	их в	3	2
87	в ней	4	2
88	раз навсегда	2	2
89	и потому	7	2
90	но в	3	2
91	с его	3	2
92	и во	2	2
93	в вопросе	3	2
94	но не	2	2
95	тогда уже	2	2
96	от бога	8	2
97	как не	3	2
98	ее в	2	2
99	все равно	2	2
100	и они	3	2
101	ничего и	2	2
102	и для	3	2
103	я думаю	2	2
104	во всяком	2	2
105	могут быть	2	2
106	в его	4	2
