N	2gram	Bakhtin_Pr_3	Komedia
1	и в	34	22
2	т е	12	13
3	том что	3	12
4	в том	3	11
5	но и	12	11
6	не только	10	10
7	из них	5	10
8	в то	12	10
9	как и	18	9
10	и т	8	9
11	может быть	19	9
12	в одном	5	8
13	таким образом	5	8
14	и не	29	8
15	и его	16	8
16	о том	2	8
17	что в	7	6
18	в отношении	9	6
19	в конце	5	6
20	что он	23	6
21	к тому	5	6
22	ни в	4	6
23	тому же	2	6
24	то же	14	6
25	не в	9	6
26	а в	5	6
27	в которой	2	6
28	уже в	3	5
29	с другой	4	5
30	во время	2	5
31	прежде всего	15	5
32	при этом	4	5
33	в его	22	5
34	еще в	3	5
35	один из	2	5
36	на его	4	5
37	так и	6	5
38	как в	4	5
39	все это	16	5
40	другой стороны	3	5
41	и даже	7	5
42	потому что	12	5
43	т п	6	5
44	между тем	3	5
45	как мы	7	4
46	в другом	8	4
47	на протяжении	5	4
48	что они	6	4
49	же время	12	4
50	время от	2	4
51	в котором	3	4
52	в нем	19	4
53	что и	5	4
54	на него	7	4
55	так в	2	4
56	т д	2	4
57	тем что	4	4
58	и вот	5	4
59	точки зрения	8	4
60	из его	4	4
61	конце концов	3	4
62	так как	4	4
63	но в	16	4
64	не менее	3	3
65	однако в	2	3
66	в них	2	3
67	не удалось	2	3
68	вопрос о	2	3
69	на всю	2	3
70	и как	3	3
71	по своему	3	3
72	тот же	2	3
73	и сам	5	3
74	в начале	4	3
75	и у	5	3
76	у него	4	3
77	да и	4	3
78	хотя и	3	3
79	он не	15	3
80	даже в	5	3
81	все же	7	3
82	отношению к	6	3
83	в целом	5	3
84	отношение к	6	3
85	так же	8	3
86	по отношению	5	3
87	не мог	5	3
88	как раз	4	3
89	каждый из	2	3
90	и на	6	3
91	в этом	16	3
92	и с	15	3
93	в виде	4	3
94	и ее	2	3
95	только в	6	3
96	и все	19	3
97	его в	4	3
98	в чем	5	3
99	ничего не	4	3
100	к которому	2	3
101	ни было	4	2
102	за пределы	2	2
103	и без	2	2
104	то ни	4	2
105	столь же	2	2
106	здесь и	2	2
107	и во	3	2
108	и мир	2	2
109	именно потому	2	2
110	вовсе не	11	2
111	точек зрения	2	2
112	тем не	2	2
113	мы знаем	2	2
114	протяжении всего	4	2
115	раз в	2	2
116	мы видели	3	2
117	слова о	4	2
118	а к	2	2
119	должна была	2	2
120	такой же	3	2
121	на этом	4	2
122	собой и	2	2
123	но не	4	2
124	совсем не	3	2
125	того же	2	2
126	до конца	3	2
127	еще не	4	2
128	было бы	2	2
129	мог бы	2	2
130	в самом	8	2
131	всяком случае	5	2
132	в эти	2	2
133	для себя	6	2
134	с ее	3	2
135	то что	11	2
136	бы то	4	2
137	вместе с	4	2
138	всего этого	2	2
139	находится в	2	2
140	только что	3	2
141	для этого	3	2
142	в сущности	11	2
143	не может	19	2
144	которых мы	2	2
145	что у	6	2
146	в форме	2	2
147	к нему	14	2
148	быть даже	3	2
149	где он	3	2
150	но это	4	2
151	во всяком	5	2
152	несколько раз	2	2
153	к ней	2	2
154	но он	3	2
155	в себе	6	2
156	как будто	7	2
157	будто бы	2	2
158	отличие от	2	2
159	ли это	2	2
