N	2gram	Vinokur_St_3	Tvorches
1	и в	25	20
2	в году	5	16
3	не только	12	13
4	и т	8	13
5	никогда не	2	11
6	т д	2	11
7	как бы	6	11
8	в его	12	10
9	таким образом	10	10
10	в то	7	10
11	и его	3	9
12	и не	10	9
13	прежде всего	10	8
14	в том	20	8
15	но и	9	8
16	может быть	19	8
17	в этом	24	8
18	и с	4	8
19	это не	7	7
20	же время	3	7
21	года в	2	7
22	что в	19	7
23	не может	7	7
24	то же	5	7
25	потому что	5	7
26	xix века	4	7
27	у него	9	6
28	в конце	6	6
29	что он	19	6
30	как и	4	6
31	в целом	4	6
32	в своей	4	6
33	так и	5	6
34	все это	8	6
35	а не	5	6
36	но это	4	5
37	еще не	2	5
38	но не	2	5
39	например в	4	5
40	все же	4	5
41	и на	6	5
42	в этой	14	5
43	о том	8	5
44	в творчестве	3	5
45	то есть	2	5
46	об этом	5	4
47	что у	2	4
48	в духе	2	4
49	мы не	2	4
50	показывает что	3	4
51	том что	15	4
52	мы видим	4	4
53	что они	2	4
54	на его	4	4
55	как в	6	4
56	а а	6	4
57	все эти	3	4
58	не в	6	4
59	а в	6	4
60	в чем	4	4
61	ничего не	4	4
62	если бы	4	4
63	но в	5	4
64	это был	2	3
65	место в	6	3
66	а с	2	3
67	с чувством	2	3
68	г а	3	3
69	с этой	3	3
70	несколько раз	2	3
71	в одной	2	3
72	к этому	3	3
73	х годов	2	3
74	одна из	2	3
75	для него	3	3
76	что не	2	3
77	одной из	2	3
78	своего рода	3	3
79	в самом	2	3
80	он не	5	3
81	в котором	5	3
82	и др	4	3
83	не является	3	3
84	один из	2	3
85	то что	12	3
86	и это	5	3
87	вместе с	2	3
88	сих пор	2	3
89	в их	3	3
90	по мнению	3	3
91	так как	3	3
92	уже не	3	3
93	в рассказе	3	3
94	тем что	19	3
95	в своих	8	3
96	в которых	2	3
97	в начале	4	3
98	у пушкина	22	3
99	в плане	2	3
100	в черновой	2	3
101	между тем	6	3
102	до сих	2	3
103	действующих лиц	4	2
104	уже в	3	2
105	все время	2	2
106	не менее	2	2
107	точку зрения	2	2
108	с другой	5	2
109	по крайней	4	2
110	в такой	2	2
111	трагедии в	3	2
112	вовсе не	2	2
113	во всяком	4	2
114	такой же	2	2
115	и ее	2	2
116	крайней мере	4	2
117	что его	2	2
118	у нас	4	2
119	так что	11	2
120	что я	3	2
121	как о	2	2
122	и если	3	2
123	в произведениях	2	2
124	в статье	2	2
125	отходит от	2	2
126	всяком случае	4	2
127	нет и	2	2
128	точка зрения	4	2
129	и тогда	2	2
130	и далее	3	2
131	т п	6	2
132	начиная с	2	2
133	не было	4	2
134	и других	2	2
135	самом деле	2	2
136	и что	3	2
137	связь с	4	2
138	и у	2	2
139	и наконец	3	2
140	другой стороны	5	2
141	не так	3	2
142	и по	2	2
143	во многом	2	2
144	во многих	2	2
145	не столько	2	2
146	что этот	3	2
147	в виде	3	2
148	могут быть	2	2
149	говорил что	5	2
150	он писал	2	2
151	известно что	2	2
152	в которой	4	2
153	говорить о	3	2
154	и только	2	2
155	только в	6	2
156	в русской	6	2
157	при помощи	2	2
158	в россии	6	2
159	из этого	4	2
160	так сказать	2	2
161	в устах	4	2
162	к которому	3	2
