N	2gram	Tiupa_Lite_2	Stilisti
1	и в	19	42
2	как бы	2	27
3	не только	8	27
4	и т.п	10	24
5	прежде всего	4	22
6	и т.д	7	20
7	хотя бы	2	17
8	но и	10	15
9	то же	12	15
10	и не	11	14
11	может быть	17	12
12	не может	9	12
13	точки зрения	4	11
14	как и	10	11
15	и как	3	10
16	отнюдь не	4	10
17	в этом	9	10
18	при этом	6	9
19	в то	9	9
20	то что	7	9
21	для того	2	9
22	мы не	4	9
23	все же	2	8
24	в ней	4	8
25	с тем	2	8
26	тем самым	3	8
27	в себе	6	8
28	никогда не	3	7
29	же время	9	7
30	и на	6	7
31	потому что	2	7
32	так как	3	7
33	было бы	2	7
34	а не	20	7
35	и его	3	7
36	ничего не	3	7
37	не в	4	6
38	в этой	3	6
39	в конце	2	6
40	в нем	3	6
41	во всех	3	6
42	так и	7	6
43	в области	4	6
44	уже в	2	5
45	в нашем	2	5
46	не является	2	5
47	а в	3	5
48	и с	3	5
49	и наконец	2	5
50	как это	2	5
51	одно и	2	5
52	в его	4	5
53	вместе с	5	5
54	с точки	3	5
55	той же	2	5
56	слова и	7	5
57	и без	2	4
58	в каждом	2	4
59	художественного творчества	2	4
60	в качестве	5	4
61	один из	4	4
62	того что	5	4
63	о том	2	4
64	но в	2	4
65	и к	2	4
66	у нас	5	4
67	себя в	6	4
68	слово не	2	4
69	всех своих	3	4
70	к своему	2	4
71	уже не	2	4
72	тем же	3	4
73	и то	3	4
74	то есть	5	4
75	этом случае	2	3
76	для нас	2	3
77	в целом	2	3
78	не к	2	3
79	из них	2	3
80	жизни и	4	3
81	и даже	8	3
82	не так	2	3
83	в начале	3	3
84	в виду	2	3
85	что было	2	3
86	в одном	2	3
87	в ее	2	3
88	том что	7	3
89	еще не	2	3
90	что и	2	3
91	и для	3	3
92	не знает	2	3
93	быть может	3	2
94	в частности	4	2
95	в какой	2	2
96	человека в	4	2
97	как уже	2	2
98	в мире	9	2
99	в том	10	2
100	но это	3	2
101	очевидно что	2	2
102	и нет	2	2
103	для него	4	2
104	до конца	2	2
105	и сам	2	2
106	в него	2	2
107	себе и	3	2
108	не с	3	2
109	не говоря	2	2
110	не было	2	2
111	этом отношении	3	2
112	каждый из	4	2
113	в своих	2	2
114	даже и	2	2
115	в разговоре	3	2
116	я и	4	2
117	в жизни	2	2
118	в основе	2	2
119	для всех	5	2
120	однако в	6	2
121	общественного сознания	2	2
122	что он	3	2
123	а к	2	2
124	представляет собой	2	2
125	но не	5	2
126	тот же	2	2
127	одной из	2	2
128	перед ним	2	2
129	при всем	2	2
130	ли не	4	2
131	из которых	2	2
132	на наш	3	2
133	и он	3	2
134	с ним	2	2
135	тем что	4	2
