N	2gram	Propp_Isto_7	FransuaR
1	и в	24	29
2	таким образом	7	20
3	и не	4	16
4	и все	6	13
5	как и	6	12
6	но в	5	12
7	так и	5	11
8	и на	2	11
9	в этом	12	11
10	то же	8	10
11	во время	6	10
12	как мы	3	10
13	мы уже	4	10
14	в то	2	10
15	не только	21	10
16	вовсе не	4	9
17	в конце	3	9
18	но и	11	9
19	все эти	2	9
20	его в	3	9
21	прежде всего	2	8
22	и его	3	8
23	как бы	4	8
24	в них	3	7
25	мы видели	7	7
26	так же	6	7
27	в том	7	7
28	так как	8	7
29	из них	2	6
30	своего рода	4	6
31	но он	2	6
32	что это	6	5
33	у него	10	5
34	это не	10	5
35	того же	2	5
36	и о	2	5
37	в нем	6	5
38	и по	3	5
39	сказать что	2	5
40	перед нами	2	4
41	но они	3	4
42	с его	3	4
43	в образе	3	4
44	в литературе	2	4
45	что он	21	4
46	но это	3	4
47	есть и	4	4
48	связанные с	2	4
49	еще не	8	4
50	и др	2	4
51	один из	7	4
52	то что	7	4
53	конечно не	2	4
54	все это	8	4
55	с другой	9	4
56	тем что	6	4
57	точки зрения	4	4
58	в которой	2	4
59	всех этих	6	3
60	в качестве	3	3
61	превращается в	3	3
62	и так	2	3
63	женщины и	2	3
64	и здесь	12	3
65	что у	4	3
66	в ее	2	3
67	все же	9	3
68	том что	10	3
69	в дальнейшем	3	3
70	мы видим	10	3
71	имеется в	2	3
72	что здесь	7	3
73	мы можем	4	3
74	тот же	2	3
75	того что	6	3
76	здесь и	2	3
77	он не	6	3
78	к нему	7	3
79	здесь не	2	3
80	но конечно	2	3
81	другой стороны	8	3
82	при этом	4	3
83	там же	2	3
84	и даже	3	3
85	не случайно	3	3
86	если кто	2	3
87	там где	5	3
88	в чем	5	3
89	не видят	2	3
90	уже в	3	2
91	сам он	2	2
92	связи с	3	2
93	и другие	9	2
94	в другой	3	2
95	к этому	2	2
96	в этих	13	2
97	другими словами	2	2
98	но здесь	2	2
99	в различных	3	2
100	на первый	4	2
101	им в	2	2
102	одной из	4	2
103	все в	2	2
104	ни в	2	2
105	и тот	2	2
106	что они	3	2
107	связаны с	2	2
108	мы увидим	6	2
109	но не	6	2
110	то время	2	2
111	кроме того	3	2
112	одной стороны	5	2
113	не может	14	2
114	на его	2	2
115	может быть	14	2
116	между прочим	3	2
117	но оно	2	2
118	хотя и	3	2
119	никогда не	4	2
120	уже не	2	2
121	в котором	2	2
122	если в	2	2
123	со стороны	2	2
124	после этого	3	2
125	ни с	2	2
126	как в	12	2
127	в их	4	2
128	в особенности	2	2
129	в других	4	2
130	с одной	5	2
131	он стал	2	2
132	они не	2	2
133	мы здесь	2	2
134	от всех	2	2
135	и у	2	2
136	и эта	2	2
137	и наконец	3	2
138	не столько	3	2
139	друг друга	2	2
140	или в	8	2
141	в основе	2	2
142	в одной	2	2
143	что из	2	2
144	только в	6	2
145	в один	2	2
146	о том	9	2
147	как он	6	2
148	и это	2	2
149	и этим	3	2
150	с ним	5	2
151	это конечно	2	2
