N	2gram	Propp_Russ_2	DiskursI
1	в качестве	3	34
2	не только	10	28
3	в том	22	23
4	а не	4	22
5	том что	22	19
6	тогда как	2	19
7	может быть	13	17
8	представляет собой	2	17
9	и в	29	16
10	как и	11	16
11	в этом	11	15
12	еще не	6	14
13	но и	8	14
14	при этом	6	13
15	прежде всего	2	11
16	но не	5	11
17	с другой	2	10
18	как в	7	10
19	далеко не	4	10
20	состоит в	15	9
21	одной стороны	2	9
22	не может	5	9
23	с одной	2	9
24	а также	4	8
25	о том	9	8
26	но в	5	8
27	то же	4	7
28	не было	2	7
29	не в	4	7
30	и как	2	6
31	пока еще	2	6
32	как бы	18	5
33	в котором	3	5
34	в своей	2	5
35	то что	5	5
36	во всех	3	5
37	в отличие	3	5
38	а с	2	5
39	а в	9	5
40	в их	2	5
41	отличие от	3	5
42	и на	6	5
43	в данном	6	5
44	что в	22	4
45	в них	4	4
46	уже не	4	4
47	связи с	2	4
48	и о	3	4
49	в которых	4	4
50	потому что	5	4
51	между тем	3	4
52	могут быть	2	4
53	это не	5	3
54	как уже	2	3
55	что и	2	3
56	в ее	3	3
57	с этим	2	3
58	сказки о	2	3
59	еще в	2	3
60	или на	8	3
61	один из	2	3
62	не с	2	3
63	все же	2	3
64	из них	4	3
65	таким образом	6	3
66	именно в	4	3
67	того что	3	3
68	принадлежат к	2	3
69	в своих	2	3
70	тем что	3	3
71	в то	2	3
72	тому как	3	3
73	не менее	2	2
74	никогда не	2	2
75	в разные	2	2
76	между собой	2	2
77	или даже	3	2
78	представления о	2	2
79	и все	4	2
80	это в	2	2
81	к этому	5	2
82	не всегда	3	2
83	в году	3	2
84	об этом	2	2
85	в г	2	2
86	есть в	2	2
87	на этом	3	2
88	что с	2	2
89	одним из	2	2
90	будто бы	5	2
91	из наиболее	2	2
92	дело не	2	2
93	в форме	2	2
94	данном случае	7	2
95	жизни в	2	2
96	как мы	3	2
97	и что	5	2
98	том чтобы	2	2
99	и по	3	2
100	или в	7	2
101	здесь в	2	2
102	в момент	2	2
103	мы имеем	6	2
104	подобно тому	3	2
105	на себя	2	2
106	и ее	2	2
107	в этой	3	2
108	заметить что	2	2
109	в виду	2	2
110	о чем	4	2
