N	2gram	Bakhtin_sl_2	OGranits
1	и в	39	13
2	и его	33	12
3	прежде всего	8	9
4	не может	20	8
5	и не	22	8
6	может быть	37	8
7	и их	5	7
8	и т.п	2	7
9	точки зрения	8	7
10	в его	7	7
11	таким образом	8	6
12	не только	24	6
13	то что	2	6
14	только в	5	6
15	как бы	7	6
16	все же	6	5
17	с точки	3	5
18	языка и	9	5
19	хотя бы	3	5
20	в поэзии	2	5
21	и наконец	5	5
22	в процессе	13	5
23	то же	4	4
24	но мы	2	4
25	все это	16	4
26	на фоне	4	4
27	только и	2	4
28	лишь в	3	4
29	мы не	2	4
30	материала в	2	4
31	слов и	3	4
32	но в	6	4
33	отношению к	4	3
34	что в	3	3
35	никогда не	7	3
36	но и	21	3
37	материала и	3	3
38	так и	15	3
39	в их	2	3
40	по отношению	4	3
41	и все	5	3
42	в одном	2	3
43	точку зрения	3	3
44	языка как	7	3
45	как и	6	3
46	не в	9	3
47	за пределы	2	3
48	не столько	3	3
49	в пределах	13	3
50	в себе	2	3
51	говорить о	3	3
52	с этим	2	3
53	и для	5	3
54	так как	4	3
55	слово в	11	3
56	не менее	4	2
57	и др	4	2
58	уже в	2	2
59	в нем	19	2
60	может иметь	3	2
61	литературного языка	12	2
62	а не	14	2
63	в отношении	4	2
64	материал в	3	2
65	может стать	2	2
66	с другой	5	2
67	в языке	2	2
68	в них	6	2
69	в связи	2	2
70	входит в	4	2
71	а в	4	2
72	истории литературы	3	2
73	речи не	2	2
74	с одной	5	2
75	все эти	6	2
76	вовсе не	10	2
77	те же	2	2
78	роль в	2	2
79	конечно в	2	2
80	и к	6	2
81	как в	13	2
82	в чем	3	2
83	в том	5	2
84	наконец в	4	2
85	том что	5	2
86	в зависимости	4	2
87	языка но	4	2
88	с ними	5	2
89	с помощью	4	2
90	в данном	2	2
91	человеческой речи	2	2
92	зависимости от	4	2
93	в этом	16	2
94	между тем	3	2
95	могут быть	7	2
96	при этом	7	2
97	нуждается в	2	2
98	связанные с	4	2
99	для него	7	2
100	в другом	2	2
101	во всем	4	2
102	в языковом	2	2
103	более того	2	2
104	одной стороны	5	2
105	мы уже	2	2
106	разрыв между	3	2
107	слова и	8	2
108	в области	2	2
109	героя и	5	2
110	и при	2	2
111	там где	6	2
112	в ней	3	2
113	а также	3	2
