N	2gram	Savitsky_E_1	Problema
1	и в	37	44
2	вовсе не	6	37
3	и не	14	35
4	не есть	2	35
5	то есть	6	34
6	может быть	6	28
7	потому что	3	25
8	по себе	4	25
9	то что	6	23
10	в том	11	21
11	только в	9	19
12	а не	2	18
13	в этом	12	17
14	для нас	4	16
15	также и	7	16
16	сказать что	4	16
17	и даже	6	14
18	не только	18	14
19	и то	2	14
20	не в	5	13
21	то же	15	13
22	той или	4	12
23	но в	14	12
24	том что	6	12
25	не является	3	11
26	но и	14	10
27	отнюдь не	9	10
28	как и	7	10
29	так и	10	10
30	и от	3	9
31	и тем	3	9
32	не имеет	4	9
33	и с	2	9
34	как бы	6	9
35	так как	7	9
36	в то	16	9
37	в его	2	9
38	что и	3	9
39	в данном	3	9
40	во всяком	3	9
41	таким образом	2	9
42	что в	21	8
43	или иной	4	8
44	а именно	2	8
45	того что	7	8
46	при помощи	2	8
47	было бы	8	8
48	он не	2	8
49	что же	2	8
50	как мы	5	8
51	в себе	9	8
52	с другой	7	7
53	данном случае	2	7
54	не может	9	7
55	и что	2	7
56	мы должны	2	7
57	и потому	5	7
58	мы не	4	7
59	никогда не	3	6
60	то ни	4	6
61	можно сказать	4	6
62	и если	2	6
63	но если	5	6
64	всяком случае	3	6
65	жизни и	2	6
66	и только	3	6
67	того или	4	6
68	и к	3	6
69	о том	3	6
70	мы можем	3	6
71	в виде	5	6
72	с тем	3	5
73	хотя и	2	5
74	в ней	4	5
75	другой стороны	2	5
76	в своем	14	5
77	а в	2	5
78	точки зрения	23	5
79	есть не	2	5
80	в таком	3	5
81	в своей	8	5
82	как в	3	5
83	так же	9	5
84	тем самым	5	5
85	он сам	2	4
86	можно ли	3	4
87	но даже	4	4
88	это значит	2	4
89	и притом	4	4
90	заключается в	2	4
91	но как	2	4
92	бы то	4	4
93	а также	7	4
94	в ее	8	4
95	на этот	2	4
96	или в	2	4
97	можно было	3	4
98	тем что	3	4
99	в каком	4	4
100	или по	2	4
101	дело в	3	4
102	же как	5	3
103	что это	2	3
104	именно потому	2	3
105	прежде всего	9	3
106	на то	6	3
107	к тому	8	3
108	ни было	4	3
109	и как	2	3
110	в этой	2	3
111	в самом	4	3
112	с этой	6	3
113	в которых	3	3
114	ни на	3	3
115	в порядке	2	3
116	если бы	2	3
117	само по	4	3
118	или иного	4	3
119	же в	2	3
120	то в	4	3
121	тем более	4	3
122	но не	5	3
123	в качестве	14	3
124	она не	2	3
125	во всей	2	3
126	и все	2	3
127	из того	2	3
128	в той	5	3
129	хотя бы	15	3
130	с другими	2	3
131	этот вопрос	2	3
132	как будто	2	3
133	как оно	2	3
134	есть в	2	3
135	в известном	3	2
136	именно в	4	2
137	в частности	5	2
138	в этих	2	2
139	в отношении	32	2
140	того же	3	2
141	бы о	2	2
142	но также	2	2
143	что все	2	2
144	и можно	2	2
145	в известной	3	2
146	нас к	2	2
147	в котором	2	2
148	друг от	2	2
149	из них	3	2
150	в их	11	2
151	происходит в	2	2
152	с одной	8	2
153	это так	3	2
154	этой точки	5	2
155	и по	5	2
156	как на	3	2
157	в результате	3	2
158	с этим	2	2
159	бы в	2	2
160	как это	4	2
161	и более	2	2
162	для них	2	2
163	и во	2	2
164	на одну	2	2
165	в некотором	4	2
166	при условии	2	2
167	мы видели	3	2
168	по своему	7	2
169	но именно	2	2
170	от друга	2	2
171	между прочим	7	2
172	во всех	6	2
173	только к	2	2
174	себе не	3	2
175	по сравнению	2	2
176	когда он	3	2
177	в процессе	4	2
178	вместе с	2	2
179	если брать	2	2
180	на основании	2	2
181	и для	3	2
182	с точки	17	2
183	но с	2	2
184	могут быть	2	2
185	сравнению с	2	2
