N	2gram	Losev_Vesc_1	Problemy
1	и в	21	34
2	и не	29	29
3	как бы	12	27
4	в его	2	22
5	может быть	16	19
6	в нем	2	19
7	не может	17	19
8	и все	5	19
9	как и	8	18
10	к себе	4	17
11	но в	5	16
12	все это	5	16
13	и его	2	16
14	в этом	4	16
15	и с	8	15
16	прежде всего	9	15
17	что я	24	15
18	то же	6	14
19	с самим	4	14
20	самом деле	4	13
21	для него	4	13
22	т е	55	12
23	но и	18	12
24	потому что	16	12
25	в то	3	12
26	себя самого	2	11
27	вовсе не	10	11
28	в сущности	4	11
29	то что	27	11
30	не только	36	10
31	слова и	5	10
32	в отношении	4	9
33	не в	5	9
34	самим собою	2	9
35	а не	19	9
36	никогда не	2	8
37	себя и	4	8
38	в самом	9	8
39	и т	19	8
40	точки зрения	5	8
41	с ним	8	8
42	что же	8	8
43	и для	9	8
44	в другом	2	8
45	слова в	2	7
46	я не	4	7
47	что в	9	7
48	я сам	3	7
49	знает и	2	7
50	и даже	6	7
51	все же	4	7
52	как мы	4	7
53	что не	5	7
54	с собою	6	6
55	что они	6	6
56	у меня	3	6
57	что у	5	6
58	с ними	3	6
59	мы уже	3	6
60	для себя	5	6
61	так и	3	6
62	в себе	14	6
63	только в	14	6
64	что это	13	5
65	это я	4	5
66	это не	5	5
67	и от	3	5
68	в конце	2	5
69	к тому	3	5
70	так что	5	5
71	и что	15	5
72	того что	8	5
73	всяком случае	2	5
74	из них	4	5
75	таким образом	8	5
76	и вот	2	5
77	а в	4	5
78	мы должны	2	5
79	когда я	5	5
80	с тем	5	5
81	в одном	2	5
82	что и	3	5
83	и у	3	5
84	хотя бы	6	5
85	в слове	2	5
86	во всяком	3	5
87	в чем	6	5
88	но на	2	4
89	то ни	4	4
90	с другой	6	4
91	что все	2	4
92	ни было	4	4
93	да и	3	4
94	из его	2	4
95	но это	10	4
96	на этом	2	4
97	у него	2	4
98	бы то	4	4
99	как к	4	4
100	все эти	3	4
101	даже и	4	4
102	его в	2	4
103	так как	7	4
104	если бы	5	4
105	как раз	9	4
106	меня не	2	4
107	но не	5	4
108	еще не	8	4
109	бы и	5	4
110	только на	3	4
111	все равно	2	4
112	с точки	3	4
113	с другими	8	4
114	собою и	4	4
115	тем что	2	4
116	на меня	3	4
117	я в	2	4
118	и это	14	4
119	ничего не	3	4
120	не менее	3	3
121	для этого	4	3
122	в том	8	3
123	знает что	2	3
124	тут не	5	3
125	но для	2	3
126	хотя и	4	3
127	в виду	2	3
128	в котором	3	3
129	есть только	7	3
130	с ее	6	3
131	жизни и	2	3
132	другой стороны	2	3
133	его и	2	3
134	ее как	2	3
135	к одному	3	3
136	должно быть	6	3
137	их в	3	3
138	в ней	12	3
139	но он	2	3
140	говорить о	6	3
141	ведь и	5	3
142	конце концов	2	3
143	бы в	5	3
144	и во	3	3
145	по крайней	4	3
146	по себе	13	3
147	в ее	7	3
148	том что	8	3
149	так чтобы	2	3
150	как можно	3	3
151	крайней мере	4	3
152	в своей	5	3
153	только что	2	3
154	а с	3	3
155	если не	3	3
156	как я	4	3
157	сводится к	2	3
158	и как	8	3
159	и то	10	3
160	только с	3	3
161	сама по	3	2
162	что вы	3	2
163	и внешнего	2	2
164	тому что	2	2
165	вообще не	2	2
166	с этой	4	2
167	тем не	3	2
168	было и	2	2
169	мог бы	5	2
170	и если	2	2
171	что такое	12	2
172	один из	3	2
173	отличается от	7	2
174	в своем	6	2
175	и только	3	2
176	т д	19	2
177	что оно	8	2
178	чем не	2	2
179	но только	3	2
180	я хочу	5	2
181	и тут	3	2
182	с этим	3	2
183	теперь же	2	2
184	той или	2	2
185	о том	6	2
186	а так	2	2
187	почти все	2	2
188	сказать что	17	2
189	себя как	2	2
190	слово в	2	2
191	как она	4	2
192	я и	6	2
193	или как	2	2
194	вне себя	2	2
195	и этот	2	2
196	нисколько не	4	2
197	отнюдь не	5	2
198	в жизни	3	2
199	не с	7	2
200	и того	2	2
201	это и	6	2
202	то в	4	2
203	того же	5	2
204	если я	6	2
205	ли это	7	2
206	себе как	2	2
207	тот же	3	2
208	но именно	2	2
209	было бы	14	2
210	когда она	4	2
211	во всех	2	2
212	к ней	2	2
213	внутреннего и	4	2
214	и потому	5	2
215	и делает	2	2
216	находится в	3	2
217	еще более	2	2
218	но с	2	2
219	не я	2	2
220	в той	3	2
221	уже не	9	2
222	что значит	8	2
223	той же	2	2
224	со всем	5	2
225	и без	3	2
226	тому как	4	2
227	а вы	2	2
228	не то	4	2
229	подобно тому	4	2
230	и ее	18	2
