N	2gram	Vygotskiy__4	Poddanst
1	не только	15	17
2	и в	20	14
3	и не	8	12
4	в области	4	11
5	в отношении	10	10
6	в этом	24	10
7	то же	16	9
8	в том	42	9
9	в качестве	21	9
10	но в	3	9
11	только в	10	7
12	но и	9	6
13	в ней	2	6
14	в смысле	4	6
15	было бы	8	6
16	с другой	12	5
17	не в	4	5
18	может быть	12	5
19	то что	15	4
20	что в	19	4
21	если бы	5	4
22	в своем	4	4
23	не может	6	4
24	и к	5	4
25	а в	2	4
26	том что	35	4
27	мы должны	11	4
28	а также	2	4
29	как бы	7	4
30	в нем	2	3
31	с тем	6	3
32	столь же	3	3
33	это не	5	3
34	с одной	9	3
35	прежде всего	2	3
36	заключается в	18	3
37	тем самым	7	3
38	для того	5	3
39	с точки	11	3
40	и как	9	3
41	между тем	9	3
42	но не	3	3
43	могут быть	7	3
44	точки зрения	24	3
45	в себе	10	3
46	что мы	7	3
47	тот же	9	3
48	одной стороны	9	3
49	наряду с	3	3
50	вслед за	2	3
51	потому что	12	3
52	не менее	3	2
53	том числе	2	2
54	и тем	8	2
55	именно в	3	2
56	в частности	5	2
57	отнюдь не	3	2
58	со стороны	3	2
59	во всей	4	2
60	с этим	5	2
61	и других	3	2
62	стороны и	2	2
63	а не	7	2
64	того что	10	2
65	должно быть	3	2
66	для нас	4	2
67	в силу	6	2
68	является в	3	2
69	в виде	3	2
70	переход от	2	2
71	по сравнению	4	2
72	в начале	2	2
73	из них	4	2
74	и это	2	2
75	никак не	2	2
76	в его	11	2
77	и с	4	2
