N	2gram	Propp_Isto_5	Komedia
1	и в	25	22
2	т е	16	13
3	том что	8	12
4	в том	6	11
5	но и	13	11
6	не только	13	10
7	из них	2	10
8	в то	3	10
9	как и	7	9
10	и т	20	9
11	может быть	17	9
12	таким образом	9	8
13	и не	11	8
14	и его	9	8
15	о том	7	8
16	в этой	3	7
17	и других	2	7
18	что в	8	6
19	что он	22	6
20	и по	2	6
21	то же	4	6
22	не в	6	6
23	а в	3	6
24	в которой	4	6
25	уже в	2	5
26	с другой	9	5
27	во время	7	5
28	прежде всего	6	5
29	о которых	2	5
30	в его	12	5
31	еще в	2	5
32	один из	2	5
33	в истории	4	5
34	как в	6	5
35	все это	4	5
36	другой стороны	8	5
37	потому что	7	5
38	к этому	2	4
39	ясно что	5	4
40	несмотря на	2	4
41	как мы	5	4
42	же в	2	4
43	по которым	2	4
44	в качестве	7	4
45	в нем	7	4
46	что и	6	4
47	на него	8	4
48	так в	2	4
49	т д	18	4
50	тем что	10	4
51	в греции	3	4
52	точки зрения	2	4
53	так как	11	4
54	мы можем	2	4
55	после смерти	3	3
56	же как	4	3
57	не менее	4	3
58	в образе	5	3
59	вопрос о	2	3
60	на то	2	3
61	и как	3	3
62	после того	3	3
63	одной стороны	7	3
64	и сам	2	3
65	в частности	7	3
66	у него	2	3
67	он не	4	3
68	даже в	2	3
69	все же	10	3
70	отношению к	2	3
71	в целом	3	3
72	так же	5	3
73	по отношению	2	3
74	того как	4	3
75	с одной	7	3
76	в течение	2	3
77	здесь мы	5	3
78	мы не	5	3
79	и на	8	3
80	в более	3	3
81	в этом	10	3
82	и с	3	3
83	в виде	9	3
84	могут быть	6	3
85	только в	7	3
86	и все	3	3
87	его в	9	3
88	ничего не	2	3
89	и здесь	7	2
90	затем в	3	2
91	связанные с	2	2
92	а сам	2	2
93	вовсе не	2	2
94	образом в	2	2
95	в свою	3	2
96	от них	2	2
97	тем не	4	2
98	мы знаем	8	2
99	мы видели	7	2
100	такой же	2	2
101	одна из	2	2
102	на этом	3	2
103	но не	5	2
104	именно на	2	2
105	того же	2	2
106	в себя	3	2
107	до сих	2	2
108	еще не	8	2
109	и из	3	2
110	из других	2	2
111	только один	3	2
112	и тем	4	2
113	то что	7	2
114	наряду с	4	2
115	вместе с	22	2
116	ее в	2	2
117	со стороны	2	2
118	находится в	2	2
119	не может	6	2
120	и таким	2	2
121	в других	2	2
122	что у	4	2
123	в форме	3	2
124	и хотя	4	2
125	из которых	2	2
126	к нему	3	2
127	или в	6	2
128	но это	7	2
129	но он	2	2
130	на себя	3	2
131	это время	2	2
132	ту же	2	2
133	тех же	2	2
134	е в	3	2
135	сих пор	2	2
