N	2gram	Bakhtin_sl_2	Hudozhes
1	то есть	26	18
2	и не	22	16
3	в том	5	15
4	и в	39	15
5	не только	24	15
6	может быть	37	13
7	при этом	7	12
8	а в	4	12
9	и его	33	12
10	но не	6	11
11	в этом	16	11
12	в себе	2	11
13	как бы	7	10
14	отношению к	4	10
15	но и	21	10
16	так и	15	10
17	по отношению	4	10
18	то же	4	10
19	а не	14	10
20	в его	7	9
21	точки зрения	8	9
22	себя в	8	8
23	с другой	5	7
24	или иной	5	7
25	в отличие	12	7
26	в то	4	7
27	отличие от	13	7
28	но в	6	7
29	в основе	4	6
30	с его	7	6
31	что в	3	6
32	том что	5	6
33	не в	9	6
34	же время	4	6
35	отношение к	4	6
36	не может	20	6
37	в состав	3	6
38	могут быть	7	5
39	а также	3	5
40	ни в	4	5
41	только в	5	5
42	той или	5	5
43	в нем	19	5
44	с ее	2	5
45	то что	2	5
46	или менее	2	5
47	и т.п	2	5
48	в их	2	5
49	уже не	5	5
50	героя и	5	5
51	более или	2	5
52	в этих	7	4
53	не столько	3	4
54	прежде всего	8	4
55	и как	3	4
56	в другом	2	4
57	для него	7	4
58	еще не	7	4
59	например в	5	4
60	хотя и	2	4
61	он не	2	4
62	в форме	2	4
63	как к	3	4
64	входит в	4	4
65	отношения к	4	4
66	в слове	6	4
67	сказать что	3	4
68	между тем	3	4
69	речи и	3	4
70	говорить о	3	4
71	не знает	2	4
72	как это	3	4
73	не менее	4	3
74	однако в	2	3
75	в отношении	4	3
76	это не	5	3
77	говорит и	2	3
78	как уже	2	3
79	что он	2	3
80	и к	6	3
81	к его	2	3
82	в пределах	13	3
83	в свою	3	3
84	далеко не	2	3
85	к нему	3	3
86	так в	2	3
87	таким образом	8	3
88	как и	6	3
89	в той	4	3
90	лишь в	3	3
91	в единое	2	3
92	с точки	3	3
93	и для	5	3
94	в таком	4	3
95	автора и	2	3
96	но он	2	3
97	в данном	2	3
98	его в	4	3
99	в области	2	3
100	слова в	13	2
101	истории литературы	3	2
102	на этом	3	2
103	сама по	3	2
104	и более	2	2
105	ни к	2	2
106	в контексте	3	2
107	себя и	4	2
108	в нашем	2	2
109	жизни в	2	2
110	в своем	6	2
111	в них	6	2
112	или даже	3	2
113	и особенно	2	2
114	в одном	2	2
115	человека и	3	2
116	вовсе не	10	2
117	по себе	5	2
118	только о	2	2
119	роль в	2	2
120	к своему	9	2
121	одна из	4	2
122	свою очередь	2	2
123	слова не	4	2
124	в значительной	6	2
125	с их	3	2
126	одной стороны	5	2
127	значительной степени	6	2
128	за пределы	2	2
129	во всех	12	2
130	и потому	7	2
131	на почве	4	2
132	даже в	2	2
133	оно не	8	2
134	не все	2	2
135	и др	4	2
136	но она	2	2
137	как в	13	2
138	а именно	2	2
139	слова как	2	2
140	здесь не	4	2
141	в романе	46	2
142	с одной	5	2
143	именно в	2	2
144	все эти	6	2
145	это и	2	2
146	в себя	2	2
147	того чтобы	2	2
148	для того	2	2
149	или в	2	2
150	материала в	2	2
151	с ним	7	2
152	с другими	4	2
153	и на	4	2
154	у него	3	2
155	языка в	6	2
156	с языком	2	2
157	известной степени	2	2
158	но как	2	2
159	отношении к	4	2
160	о том	2	2
161	мира и	5	2
162	в чем	3	2
