N	3gram	Vygotskiy__1	Formalny
1	с точки зрения	2	14
2	не может быть	8	14
3	на самом деле	2	12
4	и т д	8	6
5	во всяком случае	6	6
6	и т п	15	5
7	с другой стороны	5	5
8	в зависимости от	5	5
9	в самом деле	7	4
10	подобно тому как	5	4
11	для того чтобы	5	4
12	в художественном произведении	3	3
13	то же самое	2	3
14	в этом отношении	2	3
15	вместе с тем	2	3
16	в том что	9	3
17	потому что он	2	3
18	смысле этого слова	2	2
19	мы не можем	2	2
20	мы увидим что	2	2
21	то или иное	2	2
22	от всех других	2	2
23	так и в	2	2
24	всяком случае в	2	2
25	тем не менее	2	2
26	мы видели что	2	2
27	в отличие от	3	2
28	в конце концов	3	2
29	не только не	3	2
30	не может стать	2	2
31	в этом смысле	2	2
