N	2gram	Vinokur_Vv_1	Istorich
1	и в	27	28
2	может быть	24	25
3	и т	43	25
4	т д	37	22
5	не может	13	15
6	а не	3	15
7	никогда не	3	14
8	мы имеем	3	13
9	что в	11	12
10	то же	8	12
11	не только	21	12
12	только в	13	11
13	что он	4	10
14	все же	8	10
15	прежде всего	8	10
16	но и	5	10
17	т е	38	10
18	мы не	2	10
19	и что	4	10
20	в том	31	9
21	о том	15	9
22	то что	17	9
23	и не	13	9
24	не в	8	9
25	что это	3	8
26	если бы	2	8
27	таким образом	19	8
28	в этом	34	8
29	но в	10	8
30	в этих	3	7
31	это не	8	7
32	том что	26	7
33	еще не	4	7
34	было бы	5	7
35	в ней	3	7
36	и др	2	7
37	а в	5	7
38	этот вопрос	4	7
39	так же	3	7
40	что мы	2	7
41	с другой	8	6
42	не менее	8	6
43	к тому	4	6
44	тем не	8	6
45	так например	6	6
46	что и	3	6
47	в этой	3	6
48	его в	6	6
49	представляют собой	6	6
50	так как	13	6
51	вместе с	6	6
52	должна быть	2	5
53	в одном	4	5
54	вопрос о	8	5
55	по существу	2	5
56	в дальнейшем	2	5
57	в силу	3	5
58	что здесь	2	5
59	но не	7	5
60	до сих	5	5
61	например в	2	5
62	в качестве	7	5
63	что она	3	5
64	дело не	3	5
65	сих пор	5	5
66	другой стороны	5	5
67	в своем	3	5
68	можно было	7	5
69	сказать что	5	5
70	в его	10	5
71	все это	6	4
72	с тем	6	4
73	связи с	3	4
74	раньше чем	3	4
75	об этом	5	4
76	так что	5	4
77	но все	3	4
78	представляет собой	12	4
79	одной стороны	4	4
80	один из	6	4
81	а именно	6	4
82	в связи	2	4
83	с этим	2	4
84	с одной	4	4
85	как и	5	4
86	того что	12	4
87	и даже	5	4
88	хотя бы	5	4
89	и для	4	4
90	и с	2	4
91	и на	3	4
92	потому что	14	4
93	могут быть	4	4
94	как будто	3	4
95	все эти	3	4
96	здесь не	2	4
97	в какой	4	3
98	может оказаться	3	3
99	не как	3	3
100	точно так	2	3
101	по себе	9	3
102	так называемая	2	3
103	не с	2	3
104	на котором	2	3
105	именно в	8	3
106	в начале	3	3
107	для этого	3	3
108	на этом	3	3
109	при этом	3	3
110	наряду с	2	3
111	в котором	4	3
112	должен быть	4	3
113	то это	3	3
114	отношению к	4	3
115	из них	3	3
116	того как	3	3
117	в форме	2	3
118	в их	11	3
119	и тогда	3	3
120	что же	3	3
121	связь между	4	3
122	уже не	5	3
123	и его	5	3
124	не просто	4	3
125	как мы	9	3
126	из которых	2	3
127	есть только	2	3
128	же самое	2	3
129	как это	5	3
130	по отношению	4	3
131	также и	16	3
132	тем что	6	3
133	должен был	4	3
134	в руки	6	3
135	в другом	3	3
136	во всем	2	3
137	в то	5	3
138	будто бы	2	3
139	дело в	3	3
140	д все	2	3
141	дело с	6	2
142	не существует	2	2
143	за собой	3	2
144	на вопрос	6	2
145	не могут	5	2
146	есть еще	2	2
147	зависит от	3	2
148	отличие от	3	2
149	по мере	4	2
150	в частности	3	2
151	к этому	3	2
152	нисколько не	3	2
153	или меньшей	2	2
154	целое и	2	2
155	между ними	2	2
156	вовсе не	6	2
157	ясно что	9	2
158	спросить себя	2	2
159	как уже	2	2
160	значение и	2	2
161	с изучением	2	2
162	том чтобы	6	2
163	в тех	2	2
164	видеть что	6	2
165	в ее	11	2
166	мы видели	2	2
167	и как	9	2
168	нечто целое	2	2
169	так чтобы	3	2
170	одна из	2	2
171	большей или	2	2
172	как о	4	2
173	само по	3	2
174	для объяснения	2	2
175	что не	5	2
176	одной из	3	2
177	что такое	10	2
178	же как	3	2
179	но если	3	2
180	как бы	5	2
181	по этому	2	2
182	к делу	3	2
183	не вполне	4	2
184	однако не	4	2
185	как оно	3	2
186	и тем	5	2
187	в нем	13	2
188	не есть	4	2
189	говорит о	3	2
190	но уже	2	2
191	себя в	2	2
192	в целом	5	2
193	во всех	2	2
194	с ней	2	2
195	со стороны	12	2
196	в очень	3	2
197	как раз	4	2
198	меньшей мере	2	2
199	в отличие	3	2
200	этому поводу	2	2
201	в особенности	4	2
202	в виде	4	2
203	еще и	3	2
204	и вот	3	2
205	именно на	2	2
206	этих случаях	2	2
207	а только	8	2
208	на этот	4	2
209	одним из	5	2
210	должно быть	2	2
211	по его	2	2
212	самое что	2	2
213	ничего не	2	2
214	ни к	2	2
215	между тем	8	2
216	от этого	5	2
217	однако в	3	2
218	в себе	4	2
219	что если	2	2
220	как он	6	2
221	при помощи	2	2
222	ответ на	3	2
223	на нее	2	2
224	когда мы	2	2
225	только с	3	2
226	в области	4	2
227	тогда когда	3	2
