N	2gram	Losev_Vlad_3	Mirosoze
1	и в	40	46
2	в нем	3	22
3	у него	24	22
4	может быть	8	21
5	в этом	16	20
6	никогда не	11	18
7	для него	8	18
8	и не	25	18
9	не только	25	18
10	но и	18	15
11	не может	14	15
12	как и	7	13
13	не есть	10	13
14	а не	8	13
15	прежде всего	10	12
16	друг друга	2	12
17	потому что	11	12
18	не было	5	11
19	в ней	5	11
20	у нас	5	11
21	но в	4	10
22	он не	8	10
23	в себе	9	10
24	он был	2	9
25	не в	3	9
26	но это	6	8
27	как бы	3	8
28	в своем	8	8
29	так как	7	8
30	если нет	3	8
31	она не	2	8
32	человека и	3	7
33	в мире	2	7
34	в этой	8	7
35	в нашем	2	7
36	что он	5	7
37	и к	2	7
38	и потому	10	7
39	хотя бы	6	7
40	и для	3	7
41	он сам	2	6
42	вопрос о	4	6
43	что это	9	6
44	так же	8	6
45	того что	7	6
46	и здесь	6	6
47	то же	4	5
48	я не	3	5
49	бы и	4	5
50	в отношении	5	5
51	что все	7	5
52	есть прежде	2	5
53	совсем не	5	5
54	в самом	4	5
55	что она	2	5
56	это не	3	5
57	в конце	12	5
58	и все	4	5
59	в духе	3	5
60	есть не	2	5
61	во всем	6	5
62	к тому	7	5
63	по преимуществу	2	5
64	то что	28	5
65	в своей	9	5
66	для того	2	5
67	и его	10	5
68	в его	14	5
69	и это	6	5
70	что в	17	4
71	тому что	4	4
72	до конца	4	4
73	только и	5	4
74	не имеет	4	4
75	самого себя	2	4
76	также и	17	4
77	с его	2	4
78	в жизни	2	4
79	том что	18	4
80	что и	7	4
81	так и	6	4
82	уже не	9	4
83	того чтобы	3	4
84	жизнь и	3	4
85	в боге	6	4
86	же как	3	3
87	можно ли	2	3
88	и от	6	3
89	есть отрицание	2	3
90	идеи и	2	3
91	и можно	4	3
92	ни в	10	3
93	в том	18	3
94	смысле слова	6	3
95	и против	3	3
96	и всегда	2	3
97	не мог	6	3
98	не так	3	3
99	в своих	7	3
100	и на	6	3
101	сказать что	12	3
102	и с	9	3
103	по своей	2	3
104	о том	11	3
105	его в	2	3
106	нет ничего	2	3
107	в россии	3	3
108	не существует	2	3
109	если бы	3	3
110	есть и	4	3
111	на почве	2	3
112	если есть	3	3
113	не будет	6	3
114	от того	4	3
115	тем что	5	3
116	только в	13	3
117	только с	2	3
118	в чем	3	3
119	уже в	3	2
120	не был	8	2
121	но на	2	2
122	в этих	2	2
123	всегда есть	3	2
124	человека от	2	2
125	да и	6	2
126	так что	14	2
127	это есть	10	2
128	и если	7	2
129	такого рода	4	2
130	жизни а	2	2
131	но для	3	2
132	хотя и	7	2
133	же и	2	2
134	к нему	3	2
135	не к	2	2
136	и за	2	2
137	не имеют	2	2
138	что есть	3	2
139	отношения к	5	2
140	в разных	2	2
141	должно быть	5	2
142	а в	7	2
143	не о	2	2
144	точки зрения	13	2
145	в церкви	2	2
146	бы в	2	2
147	нет ни	2	2
148	к богу	2	2
149	бог есть	2	2
150	но когда	2	2
151	то он	4	2
152	себе в	2	2
153	идеей которая	2	2
154	по себе	6	2
155	есть бог	2	2
156	то в	6	2
157	связи с	2	2
158	чем в	4	2
159	и что	8	2
160	себе и	2	2
161	в сущности	2	2
162	он уже	2	2
163	еще в	5	2
164	оно не	3	2
165	с таким	2	2
166	вместе с	7	2
167	быть и	2	2
168	ее в	3	2
169	который был	2	2
170	дальше и	2	2
171	что же	9	2
172	стоит на	2	2
173	но с	2	2
174	к своему	2	2
175	и эта	3	2
176	можно было	5	2
177	от этого	2	2
178	сам по	2	2
179	в которой	2	2
180	ничего не	5	2
