N	3gram	Losev_Prob_1	Myshleni
1	в том что	5	31
2	с точки зрения	3	11
3	в этом смысле	6	8
4	с другой стороны	3	8
5	то же самое	9	7
6	в самом деле	2	6
7	и того же	2	5
8	так же как	2	5
9	можно было бы	2	5
10	одного и того	2	5
11	не только не	3	5
12	для того чтобы	8	5
13	на то что	8	4
14	и тем самым	3	4
15	и то что	2	4
16	точно так же	4	3
17	о том что	5	3
18	с тем что	2	3
19	в этом случае	2	3
20	в связи с	4	3
21	во всяком случае	3	3
22	в данном случае	8	2
23	в этой области	2	2
24	содержит в себе	7	2
25	в настоящее время	3	2
26	подобно тому как	2	2
27	и что в	2	2
28	именно то что	3	2
29	как это мы	2	2
