N	2gram	Bakhtin_Fr_1	Myslijsy
1	потому что	5	46
2	то есть	45	34
3	в том	16	32
4	и в	65	30
5	может быть	6	28
6	не только	10	21
7	только в	7	21
8	для нас	4	20
9	но и	10	19
10	том что	6	18
11	то что	3	18
12	того что	2	18
13	что в	3	17
14	в себе	3	16
15	не в	4	15
16	и не	22	15
17	так как	6	13
18	так и	10	11
19	как и	5	10
20	как в	5	10
21	в этом	15	10
22	из этих	2	9
23	для него	5	9
24	в нем	13	9
25	между тем	5	9
26	в самом	4	8
27	от того	2	8
28	в ней	6	8
29	что не	2	8
30	что мы	2	8
31	и без	2	7
32	с другой	3	7
33	вовсе не	18	7
34	к тому	2	7
35	как мы	6	7
36	но не	2	7
37	с одной	2	7
38	что он	3	6
39	но это	3	6
40	из них	4	6
41	например в	2	6
42	не может	3	6
43	уже не	3	6
44	с ним	3	6
45	одно из	6	5
46	не могут	3	5
47	в них	5	5
48	в своем	8	5
49	еще не	6	5
50	есть только	2	5
51	сказать что	6	5
52	перестает быть	3	4
53	и от	2	4
54	все это	9	4
55	в его	9	4
56	не к	2	4
57	и его	10	4
58	он не	2	4
59	и по	2	4
60	быть только	2	4
61	далеко не	3	4
62	и это	2	4
63	и потому	10	4
64	могут быть	2	3
65	прежде всего	11	3
66	и все	5	3
67	связь с	5	3
68	есть в	5	3
69	бы ни	2	3
70	до сих	4	3
71	можно сказать	2	3
72	одной стороны	2	3
73	при этом	6	3
74	в ряду	3	3
75	как бы	22	3
76	от всего	2	3
77	искусства и	6	3
78	в целом	2	3
79	время в	2	3
80	на него	2	3
81	только на	2	3
82	к нему	3	3
83	друг друга	3	3
84	в таком	2	3
85	или в	2	3
86	и на	11	3
87	это можно	2	3
88	образом в	2	3
89	в искусстве	3	3
90	и вообще	3	3
91	не знает	6	3
92	его в	7	3
93	здесь только	2	3
94	в чем	2	3
95	это было	2	3
96	сих пор	4	3
97	во многом	2	2
98	во время	4	2
99	но все	3	2
100	не были	3	2
101	именно эти	2	2
102	связи с	4	2
103	так например	2	2
104	не подлежит	2	2
105	между людьми	5	2
106	о необходимости	2	2
107	в одном	5	2
108	это в	4	2
109	на все	2	2
110	нам кажется	2	2
111	его к	2	2
112	отношение к	4	2
113	на котором	3	2
114	в ее	3	2
115	мы видим	2	2
116	в этой	4	2
117	от него	2	2
118	можно только	4	2
119	по своему	8	2
120	но как	3	2
121	в большей	5	2
122	несмотря на	2	2
123	на его	2	2
124	мы уже	12	2
125	в свое	2	2
126	за пределы	8	2
127	даже в	3	2
128	все же	6	2
129	же в	2	2
130	в свой	2	2
131	жизни и	7	2
132	в своей	5	2
133	образов и	2	2
134	и до	4	2
135	бы быть	2	2
136	мысли и	4	2
137	в их	4	2
138	в форме	3	2
139	входит в	4	2
140	в других	3	2
141	этом отношении	3	2
142	и человеческой	2	2
143	самом деле	3	2
144	в системе	3	2
145	и наконец	2	2
146	и даже	8	2
147	на мир	5	2
148	их в	2	2
149	точки зрения	7	2
150	еще раз	2	2
151	о том	2	2
152	так сказать	4	2
153	в области	7	2
154	и с	3	2
