N	2gram	Losev_Dial_2	StatiiOP
1	и в	19	44
2	в том	14	36
3	и т	17	30
4	что в	7	30
5	том что	10	29
6	т д	15	21
7	в этом	8	21
8	вовсе не	13	19
9	то что	14	18
10	не только	19	18
11	было бы	3	17
12	а в	4	17
13	о том	5	17
14	и не	30	16
15	а не	16	16
16	т е	30	15
17	может быть	20	15
18	в данном	3	14
19	в области	2	14
20	как в	2	13
21	не в	8	12
22	в этой	3	11
23	самом деле	4	11
24	точки зрения	12	11
25	ясно что	4	10
26	что он	6	10
27	но и	12	10
28	но в	2	10
29	только в	5	10
30	с другой	5	9
31	в то	6	9
32	как и	10	9
33	того что	6	9
34	т п	2	9
35	также и	2	9
36	так и	10	9
37	у пушкина	2	8
38	например в	2	8
39	во всех	2	8
40	все же	4	8
41	из них	3	8
42	не может	9	8
43	и его	5	8
44	это не	10	8
45	с точки	8	8
46	но ведь	2	8
47	я не	6	7
48	прежде всего	8	7
49	в самом	5	7
50	сих пор	2	7
51	до сих	2	7
52	другой стороны	4	7
53	таким образом	4	7
54	сказать что	10	7
55	что они	6	7
56	потому что	14	6
57	так что	7	6
58	но это	7	6
59	что и	5	6
60	в своей	8	6
61	данном случае	2	6
62	что же	2	6
63	именно в	2	6
64	на самом	2	6
65	в той	3	6
66	во всяком	2	6
67	хотя бы	4	6
68	всяком случае	2	6
69	не менее	3	5
70	никогда не	9	5
71	была бы	3	5
72	так же	2	5
73	что мы	2	5
74	совершенно не	7	5
75	в нем	10	5
76	жизни и	6	5
77	все это	4	5
78	думаю что	3	5
79	то же	12	5
80	и даже	14	5
81	и по	4	5
82	и то	7	5
83	тем что	2	5
84	могут быть	4	5
85	все эти	2	5
86	уже о	2	5
87	так как	14	5
88	что это	10	4
89	в частности	2	4
90	можно ли	3	4
91	что она	14	4
92	вопрос о	3	4
93	мы находим	3	4
94	бы и	2	4
95	в ее	4	4
96	это и	3	4
97	же время	5	4
98	но все	2	4
99	но я	3	4
100	и что	5	4
101	того или	2	4
102	же и	9	4
103	как раз	5	4
104	как бы	14	4
105	дело не	2	4
106	не было	3	4
107	что у	2	4
108	заключается в	4	4
109	как будто	7	4
110	как это	7	4
111	в которой	2	4
112	том как	2	4
113	эти вопросы	3	3
114	во время	2	3
115	тому что	2	3
116	в какой	2	3
117	и я	2	3
118	и с	5	3
119	в конце	2	3
120	я уже	2	3
121	должна быть	5	3
122	в каждом	2	3
123	в тех	2	3
124	же это	4	3
125	ни в	10	3
126	да и	6	3
127	об этом	3	3
128	же как	3	3
129	но не	6	3
130	еще не	4	3
131	или иным	2	3
132	что не	6	3
133	не по	2	3
134	или иное	4	3
135	в ней	2	3
136	не значит	3	3
137	даже в	3	3
138	то это	2	3
139	ни с	4	3
140	в истории	2	3
141	а именно	5	3
142	и только	4	3
143	в виде	2	3
144	с одной	2	3
145	что оно	4	3
146	тем или	2	3
147	должны быть	3	3
148	тем же	2	3
149	в таком	4	3
150	в очень	2	3
151	значит что	12	3
152	в чем	3	3
153	в результате	2	3
154	то или	4	3
155	к сожалению	2	3
156	в каком	4	3
157	в другом	4	3
158	и вообще	6	3
159	будто бы	3	3
160	между тем	2	3
161	с этим	3	3
162	может не	4	2
163	уже в	4	2
164	нисколько не	4	2
165	всех этих	3	2
166	и можно	2	2
167	в этих	3	2
168	в своем	4	2
169	хотя в	2	2
170	по крайней	9	2
171	не знаю	2	2
172	на который	2	2
173	быть в	4	2
174	тут не	3	2
175	что на	2	2
176	крайней мере	9	2
177	раз в	2	2
178	и более	3	2
179	есть в	2	2
180	при этом	4	2
181	быть и	4	2
182	то время	4	2
183	что с	2	2
184	бы это	3	2
185	она не	8	2
186	несмотря на	2	2
187	в сущности	2	2
188	за пределы	4	2
189	и потому	5	2
190	если в	2	2
191	и уже	3	2
192	тем не	2	2
193	убедиться в	2	2
194	времени но	2	2
195	конечно не	6	2
196	на него	2	2
197	разница между	2	2
198	без всякого	4	2
199	и их	3	2
200	и тогда	3	2
201	а потому	2	2
202	так или	2	2
203	это вовсе	2	2
204	есть только	4	2
205	д и	2	2
206	в каком-то	4	2
207	или иначе	2	2
208	ничего не	3	2
209	что этот	3	2
210	в своих	2	2
211	их в	2	2
212	от этого	3	2
213	ни на	2	2
214	одно из	4	2
215	мере в	2	2
216	он не	4	2
217	но он	4	2
218	в себе	15	2
219	нет ни	3	2
220	но разве	2	2
221	говорить о	5	2
222	по своей	4	2
223	о котором	3	2
224	что здесь	2	2
225	то не	3	2
226	все в	2	2
227	далее в	2	2
228	и все	12	2
229	его в	3	2
230	и это	5	2
231	том смысле	4	2
232	к нему	4	2
233	мы имеем	3	2
234	время как	7	2
235	е в	3	2
