N	2gram	Berdyaev_V_1	Problema
1	в его	4	43
2	и не	20	42
3	и в	16	38
4	как бы	5	22
5	в нем	4	15
6	в этом	4	15
7	и т	2	14
8	прежде всего	2	13
9	только в	2	13
10	но не	2	12
11	ни в	3	11
12	во всех	3	11
13	и для	3	11
14	но и	5	9
15	не имеет	3	9
16	не только	2	9
17	в том	3	8
18	то что	9	8
19	что в	3	7
20	не в	3	7
21	между тем	2	7
22	как и	4	7
23	еще не	8	7
24	в своей	3	7
25	не к	2	6
26	а в	2	6
27	не есть	6	6
28	это не	2	5
29	никогда не	3	5
30	все эти	3	5
31	должно быть	3	5
32	с ним	2	5
33	в них	3	5
34	конечно не	2	5
35	так и	4	5
36	а не	7	5
37	могут быть	2	5
38	должна быть	3	4
39	в ней	4	4
40	в форме	2	4
41	и потому	7	4
42	но в	3	4
43	не с	2	4
44	что не	4	4
45	хотя бы	3	4
46	можно было	2	4
47	нас за	2	3
48	да и	2	3
49	но это	3	3
50	хотя и	5	3
51	все это	5	3
52	и все	4	3
53	том что	2	3
54	говорить о	4	3
55	от него	2	3
56	все что	4	3
57	нет и	2	3
58	оно не	3	3
59	в мире	5	3
60	и это	2	3
61	не могут	2	2
62	и есть	4	2
63	в этих	3	2
64	что все	4	2
65	ивана карамазова	2	2
66	в котором	4	2
67	не было	3	2
68	человека как	2	2
69	ценности и	2	2
70	лишь в	3	2
71	и что	3	2
72	того что	5	2
73	его не	2	2
74	в истории	8	2
75	к личности	4	2
76	с его	3	2
77	и во	2	2
78	что он	4	2
79	а к	2	2
80	одна из	2	2
81	что и	3	2
82	в себя	2	2
83	того чтобы	2	2
84	к чему	3	2
85	тем что	2	2
86	в чем	3	2
87	не могли	2	2
