N	2gram	Berdyaev_V_1	StatiiOP
1	и в	16	44
2	в том	3	36
3	и т	2	30
4	что в	3	30
5	том что	2	29
6	т д	2	21
7	в этом	4	21
8	то что	9	18
9	не только	2	18
10	а в	2	17
11	и не	20	16
12	а не	7	16
13	можно было	2	13
14	не в	3	12
15	того чтобы	2	11
16	я думаю	2	11
17	что он	4	10
18	но и	5	10
19	но в	3	10
20	только в	2	10
21	как и	4	9
22	того что	5	9
23	так и	4	9
24	в его	4	9
25	во всех	3	8
26	это не	2	8
27	прежде всего	2	7
28	для нас	2	7
29	что они	7	7
30	потому что	4	6
31	но это	3	6
32	для него	2	6
33	что и	3	6
34	в своей	3	6
35	во всяком	2	6
36	хотя бы	3	6
37	никогда не	3	5
38	что мы	4	5
39	в котором	4	5
40	в нем	4	5
41	жизни и	3	5
42	все это	5	5
43	и то	2	5
44	тем что	2	5
45	могут быть	2	5
46	все эти	3	5
47	так как	9	5
48	бы и	3	4
49	и что	3	4
50	как бы	5	4
51	не было	3	4
52	не имеет	3	4
53	а с	2	3
54	по этому	3	3
55	тому что	3	3
56	и я	4	3
57	в конце	3	3
58	должна быть	3	3
59	ни в	3	3
60	да и	2	3
61	но не	2	3
62	еще не	8	3
63	что не	4	3
64	и для	3	3
65	в ней	4	3
66	то это	3	3
67	и за	2	3
68	в истории	8	3
69	лишь в	3	3
70	за то	3	3
71	в чем	3	3
72	между тем	2	3
73	что от	2	2
74	что все	4	2
75	в этих	3	2
76	что во	3	2
77	превращается в	3	2
78	и во	2	2
79	если не	3	2
80	и сам	2	2
81	и потому	7	2
82	это дело	2	2
83	конечно не	2	2
84	и тогда	2	2
85	более чем	2	2
86	мы не	2	2
87	отвращение к	3	2
88	их в	3	2
89	от этого	3	2
90	говорить о	4	2
91	и все	4	2
92	и это	2	2
