N	3gram	Vinokur_Vv_1	Myshleni
1	с точки зрения	2	18
2	в том что	12	15
3	для того чтобы	21	15
4	с другой стороны	5	9
5	с одной стороны	4	8
6	по отношению к	4	7
7	в другом месте	2	6
8	о том что	12	6
9	заключается в том	3	6
10	по сравнению с	3	5
11	в собственном смысле	2	5
12	не может быть	8	5
13	вместе с тем	3	5
14	можно сказать что	3	4
15	в этом отношении	3	4
16	но вместе с	2	4
17	до сих пор	5	4
18	к выводу что	5	4
19	смысле этого слова	2	3
20	то же самое	2	3
21	можно было бы	3	3
22	во всяком случае	3	3
23	в том чтобы	5	3
24	и той же	2	2
25	влечет за собой	2	2
26	в данном случае	4	2
27	именно в этом	3	2
28	в самом деле	5	2
29	в то же	5	2
30	на этот вопрос	3	2
31	на вопрос о	4	2
32	то же время	5	2
33	в известном смысле	3	2
34	что может быть	3	2
35	одной и той	2	2
