N	3gram	Vygotskiy__4	Myshleni
1	в том что	12	17
2	вместе с тем	2	10
3	заключается в том	3	7
4	для того чтобы	19	7
5	с самого начала	5	6
6	так же как	3	6
7	с одной стороны	3	5
8	можно было бы	4	5
9	друг с другом	4	5
10	смысле этого слова	3	4
11	в то время	2	4
12	во всяком случае	3	4
13	то время как	2	4
14	в его основе	4	3
15	о том что	10	3
16	так же точно	5	3
17	сами по себе	3	3
18	на то что	6	3
19	с другой стороны	2	3
20	и той же	2	2
21	так как она	3	2
22	и в этом	3	2
23	и только после	5	2
24	мы никогда не	3	2
25	то что мы	3	2
26	то что в	3	2
27	таким образом что	2	2
28	одной и той	2	2
