N	2gram	Bakhtin_KF_1	Myslijsy
1	потому что	2	33
2	то что	7	29
3	может быть	45	26
4	в том	6	23
5	и в	24	23
6	в этом	14	23
7	и не	26	18
8	что в	4	17
9	при этом	4	15
10	только в	16	15
11	для нас	4	14
12	как и	5	14
13	в себе	21	14
14	то же	5	14
15	того что	3	14
16	если бы	8	13
17	том что	4	12
18	не было	8	12
19	а не	17	12
20	по себе	2	11
21	что я	5	11
22	но и	9	11
23	не в	12	11
24	не может	27	11
25	и потому	2	10
26	по отношению	26	10
27	не только	5	10
28	тем что	3	10
29	для меня	20	10
30	не есть	20	9
31	между тем	4	9
32	в своем	16	8
33	было бы	8	8
34	тогда когда	3	8
35	отношению к	22	8
36	мы не	3	8
37	о том	3	8
38	но в	5	8
39	когда я	3	7
40	с тем	2	7
41	что это	3	7
42	это не	10	7
43	в нем	28	7
44	что и	7	7
45	вовсе не	7	7
46	могут быть	3	7
47	как в	2	7
48	этого слова	2	7
49	независимо от	3	6
50	для того	3	6
51	что не	3	6
52	так и	2	6
53	для него	8	5
54	и мы	2	5
55	в его	40	5
56	как бы	9	5
57	к нему	12	5
58	бы и	3	5
59	все это	10	5
60	не менее	3	5
61	должно быть	6	5
62	а в	4	5
63	с ним	5	5
64	не из	2	5
65	говорить о	2	5
66	и то	2	5
67	не имеет	5	5
68	думать что	2	4
69	и та	2	4
70	и все	7	4
71	что он	2	4
72	тем не	2	4
73	только как	4	4
74	и может	3	4
75	но есть	2	4
76	в одном	4	4
77	от того	3	4
78	в котором	24	4
79	и тем	3	4
80	тем самым	4	4
81	того чтобы	2	4
82	хотя бы	4	4
83	точки зрения	12	4
84	в каком	4	4
85	в данном	2	4
86	в сознании	2	4
87	в то	3	4
88	его в	5	4
89	мы имеем	5	4
90	слова в	2	3
91	и есть	9	3
92	ни был	2	3
93	никогда не	5	3
94	возможность в	2	3
95	в смысле	6	3
96	именно в	5	3
97	но это	6	3
98	не будет	2	3
99	же время	2	3
100	еще не	4	3
101	в виду	3	3
102	в каждом	3	3
103	и их	6	3
104	в процессе	2	3
105	со стороны	7	3
106	что есть	2	3
107	и только	6	3
108	бы не	3	3
109	все эти	10	3
110	и других	2	3
111	на самом	3	3
112	уже не	7	3
113	лишь в	8	3
114	самом деле	3	3
115	с ними	3	3
116	и на	3	3
117	это есть	2	3
118	с точки	9	3
119	там где	5	3
120	я не	6	2
121	из себя	8	2
122	и как	2	2
123	тому что	2	2
124	оно не	2	2
125	не как	4	2
126	но нет	2	2
127	и я	5	2
128	а как	2	2
129	вопрос о	2	2
130	человек не	2	2
131	отношение к	5	2
132	и здесь	7	2
133	в ее	16	2
134	было и	2	2
135	от него	3	2
136	по своему	3	2
137	в свою	3	2
138	не нужно	2	2
139	в это	2	2
140	не могу	3	2
141	к ним	4	2
142	в ней	3	2
143	он не	6	2
144	и когда	2	2
145	не значит	6	2
146	как оно	2	2
147	один из	2	2
148	и это	12	2
149	в мире	6	2
150	конечно не	7	2
151	быть не	2	2
152	и для	9	2
153	еще более	2	2
154	дело не	2	2
155	но эта	5	2
156	здесь мы	4	2
157	именно на	2	2
158	из которых	2	2
159	что значит	2	2
160	и его	17	2
161	есть лишь	5	2
162	в своих	3	2
163	тем как	3	2
164	что только	2	2
165	может иметь	2	2
166	в виде	2	2
167	это можно	2	2
168	его к	2	2
169	от его	5	2
170	в ту	2	2
171	быть и	3	2
172	в области	2	2
173	из него	3	2
174	это было	2	2
175	ни к	2	2
