N	3gram	Losev_Prob_2	EvropaiE
1	в то же	4	15
2	с одной стороны	5	8
3	одной стороны и	3	6
4	в том что	4	6
5	для того чтобы	2	5
6	и в этом	3	4
7	не только в	2	4
8	само по себе	2	4
9	того или иного	5	4
10	бы то ни	2	4
11	можно было бы	2	3
12	можно сказать что	3	3
13	хотя бы и	3	3
14	и прежде всего	2	3
15	во всяком случае	10	3
16	в этом смысле	5	3
17	или хотя бы	2	2
18	в данном случае	5	2
19	друг от друга	2	2
20	на то что	4	2
21	только в том	4	2
22	с другой стороны	5	2
23	в частности в	2	2
24	не говоря уже	4	2
25	и в частности	3	2
26	заключается в том	2	2
27	не может быть	3	2
