N	3gram	Losev_Dial_1	Vvedenie
1	и т д	19	36
2	о том что	2	12
3	в том что	7	12
4	не может быть	3	8
5	в этом смысле	3	8
6	то же время	4	6
7	в то же	4	6
8	до сих пор	2	6
9	т д но	2	5
10	и т п	2	5
11	с другой стороны	4	5
12	по крайней мере	4	4
13	с одной стороны	2	4
14	можно было бы	4	4
15	по сравнению с	2	4
16	само по себе	5	4
17	в этом отношении	2	4
18	и в этом	3	4
19	во всяком случае	2	4
20	одной стороны и	2	3
21	можно сказать что	3	3
22	сама по себе	8	3
23	в конце концов	3	2
24	той или иной	3	2
25	с точки зрения	12	2
26	точно так же	2	2
27	может быть и	3	2
28	что в нем	3	2
29	как она есть	3	2
30	потому что он	3	2
