N	2gram	Vygotskiy__5	Dialekti
1	не есть	4	47
2	и не	12	30
3	может быть	9	20
4	и в	16	19
5	не только	16	19
6	по себе	7	18
7	а не	10	16
8	то что	26	14
9	что она	2	14
10	и даже	2	14
11	в том	18	14
12	как бы	5	14
13	так как	16	14
14	потому что	21	14
15	вовсе не	2	13
16	но и	6	12
17	то же	8	12
18	значит что	5	12
19	точки зрения	18	12
20	как и	8	10
21	и как	3	10
22	в нем	7	10
23	так и	7	10
24	том что	15	10
25	это не	4	10
26	сказать что	13	10
27	никогда не	5	9
28	не может	18	9
29	прежде всего	3	8
30	это значит	5	8
31	с точки	9	8
32	не в	6	8
33	это есть	4	8
34	в этом	25	8
35	в своей	2	8
36	сама по	4	7
37	есть не	2	7
38	как это	8	7
39	но это	3	7
40	но что	3	7
41	и к	2	7
42	совершенно не	2	7
43	что в	16	7
44	должно быть	8	7
45	время как	4	7
46	и то	4	7
47	как будто	2	7
48	так что	4	7
49	я не	2	6
50	что он	25	6
51	что они	5	6
52	в то	5	6
53	но не	10	6
54	того что	16	6
55	и может	3	6
56	жизни и	2	6
57	тогда когда	5	6
58	сознания и	2	5
59	должна быть	5	5
60	с другой	4	5
61	в силу	10	5
62	по своему	3	5
63	можно сказать	5	5
64	в самом	4	5
65	и следовательно	6	5
66	и потому	2	5
67	что и	3	5
68	все равно	2	5
69	и что	12	5
70	в смысле	3	5
71	только что	5	5
72	и его	3	5
73	но как	3	5
74	говорить о	3	5
75	только в	10	5
76	о том	8	5
77	не то	4	5
78	и с	3	5
79	в виду	2	5
80	и есть	7	4
81	в своем	5	4
82	в одном	3	4
83	не могут	4	4
84	быть в	2	4
85	все же	3	4
86	при этом	4	4
87	то время	4	4
88	еще не	4	4
89	к нему	3	4
90	за пределы	4	4
91	в меру	4	4
92	он не	8	4
93	хотя бы	5	4
94	вопрос об	3	4
95	связи с	3	4
96	от того	3	4
97	все это	2	4
98	другой стороны	2	4
99	таким образом	19	4
100	что оно	6	4
101	заключается в	5	4
102	самом деле	3	4
103	и по	4	4
104	а в	3	4
105	могут быть	4	4
106	но он	7	4
107	в другом	6	4
108	по своей	3	4
109	как он	6	4
110	по одному	4	4
111	с ним	5	4
112	не менее	3	3
113	и более	3	3
114	же как	7	3
115	о чем	2	3
116	же мы	2	3
117	в этих	3	3
118	и от	2	3
119	как они	3	3
120	вопрос о	12	3
121	а только	4	3
122	как мы	10	3
123	но только	2	3
124	это и	3	3
125	в этой	6	3
126	что если	4	3
127	было бы	10	3
128	и из	2	3
129	из них	2	3
130	то как	3	3
131	и их	4	3
132	мы говорим	2	3
133	с этим	3	3
134	в той	6	3
135	во внимание	2	3
136	должны быть	2	3
137	может иметь	2	3
138	они не	3	3
139	его в	2	3
140	в чем	3	3
141	ничего не	5	3
142	зависит от	4	2
143	самого начала	5	2
144	само по	2	2
145	только не	3	2
146	в частности	3	2
147	мере в	5	2
148	в зависимости	2	2
149	влиять на	3	2
150	что у	2	2
151	в какой	6	2
152	в состоянии	4	2
153	их из	2	2
154	в системе	4	2
155	именно в	4	2
156	на всю	2	2
157	он может	3	2
158	но мы	5	2
159	если мы	7	2
160	то это	2	2
161	к тому	6	2
162	же в	2	2
163	с самого	5	2
164	но все	2	2
165	мы видим	4	2
166	что я	2	2
167	зависимости от	2	2
168	в истории	2	2
169	с тем	3	2
170	очевидно что	2	2
171	тем или	2	2
172	как известно	4	2
173	это мы	2	2
174	что с	5	2
175	до сих	3	2
176	или иным	2	2
177	же самого	3	2
178	своей природе	3	2
179	на его	2	2
180	в сущности	13	2
181	в ней	2	2
182	в сфере	5	2
183	не умеет	3	2
184	только к	2	2
185	если в	3	2
186	сих пор	3	2
187	на все	5	2
188	во всех	2	2
189	ее в	3	2
190	в их	3	2
191	тому что	5	2
192	так же	15	2
193	не на	3	2
194	того как	5	2
195	с одной	3	2
196	как в	5	2
197	форм и	2	2
198	а потому	3	2
199	как я	3	2
200	и потом	2	2
201	в своих	2	2
202	в результате	4	2
203	их в	2	2
204	между тем	3	2
205	тем что	5	2
206	на который	2	2
207	или не	2	2
208	что мы	4	2
209	мы должны	8	2
210	же самое	4	2
211	во всяком	2	2
212	что эти	2	2
213	все эти	4	2
214	ни на	2	2
215	в которой	5	2
216	в области	12	2
217	которые не	2	2
218	но в	6	2
219	в жизни	2	2
220	том как	2	2
221	вместе с	4	2
222	на этом	3	2
