N	2gram	Vygotskiy__3	PoTuStor
1	может быть	19	17
2	и в	38	16
3	таким образом	12	9
4	в этом	13	9
5	мы можем	7	9
6	и только	3	9
7	совершенно не	5	8
8	и его	6	8
9	точки зрения	16	8
10	не может	7	8
11	сказать что	4	7
12	не только	12	7
13	и это	8	6
14	и к	3	6
15	с точки	9	6
16	самом деле	21	6
17	для него	2	6
18	при этом	4	6
19	конечно не	4	6
20	только для	3	5
21	все эти	4	5
22	ни в	3	5
23	как бы	14	5
24	с самого	6	4
25	самого начала	6	4
26	в нем	4	4
27	отнюдь не	2	4
28	но и	5	4
29	все это	3	4
30	хотя бы	2	4
31	и все	10	4
32	так как	6	4
33	и не	10	4
34	на самом	2	4
35	как мы	7	4
36	но мы	2	4
37	и ее	2	4
38	и наконец	2	4
39	и даже	4	4
40	и на	6	4
41	в этой	13	4
42	с ее	2	4
43	и может	2	4
44	только в	4	4
45	в один	3	4
46	его в	3	4
47	для всех	2	4
48	но в	3	4
49	в его	5	4
50	и значение	3	3
51	в этих	2	3
52	что в	20	3
53	во всех	4	3
54	вместе с	5	3
55	сих пор	5	3
56	отношения к	2	3
57	в одном	8	3
58	к себе	2	3
59	и вот	2	3
60	в том	25	3
61	а в	7	3
62	том что	14	3
63	и как	8	3
64	то что	35	3
65	их в	2	3
66	в основе	3	3
67	на этом	5	3
68	в общем	2	3
69	едва ли	3	3
70	как это	6	3
71	во всяком	2	3
72	до сих	6	3
73	всяком случае	2	3
74	и этот	3	2
75	ее в	4	2
76	один из	6	2
77	не могут	2	2
78	что и	4	2
79	никогда не	4	2
80	что не	3	2
81	между собой	2	2
82	для этого	2	2
83	в них	3	2
84	если мы	6	2
85	того же	3	2
86	с этой	2	2
87	из этих	3	2
88	с этим	8	2
89	то же	10	2
90	по аналогии	2	2
91	что оно	2	2
92	к этому	3	2
93	что он	11	2
94	мы не	5	2
95	у него	4	2
96	можем сказать	2	2
97	и по	2	2
98	и для	4	2
99	для нас	8	2
100	как и	8	2
101	они не	2	2
102	своей жизни	2	2
103	мы видим	12	2
104	так же	2	2
105	но это	3	2
106	есть в	2	2
107	аналогии с	2	2
108	мы уже	7	2
109	совсем не	3	2
110	по своему	4	2
111	он не	6	2
112	чувства и	2	2
113	не можем	4	2
114	было бы	12	2
115	со всеми	2	2
116	что это	10	2
117	все то	7	2
118	и мы	13	2
119	о том	6	2
120	в самом	25	2
121	но как	2	2
122	в своей	5	2
123	только то	2	2
124	и о	3	2
125	с ним	2	2
126	к ним	3	2
127	можно назвать	2	2
128	и действительно	2	2
