N	2gram	Bakhtin_Fr_3	VerxiiNi
1	и в	40	26
2	таким образом	10	22
3	вместе с	3	15
4	в этом	15	15
5	точки зрения	2	13
6	как бы	3	12
7	в том	8	11
8	может быть	9	10
9	не только	13	10
10	и с	8	10
11	из этих	2	10
12	связи с	6	9
13	что в	12	9
14	но и	11	9
15	в области	4	9
16	так как	4	9
17	с другой	2	8
18	но не	2	8
19	и не	13	8
20	и у	2	8
21	связанные с	3	7
22	том что	4	7
23	но все	3	7
24	из них	4	7
25	к нему	2	7
26	то что	5	7
27	в эпоху	8	7
28	потому что	2	7
29	но в	8	7
30	в конце	3	6
31	представление о	2	6
32	и потому	4	6
33	того же	2	6
34	что и	3	6
35	все же	2	6
36	так и	3	6
37	все это	4	6
38	все эти	8	6
39	в себе	3	6
40	о том	4	6
41	том числе	3	5
42	образом в	2	5
43	и к	3	5
44	отношение к	8	5
45	до сих	4	5
46	одной из	2	5
47	в его	13	5
48	к жизни	2	5
49	сих пор	4	5
50	лишь в	2	5
51	а не	5	5
52	того чтобы	4	5
53	для того	3	5
54	и для	5	5
55	в мире	4	5
56	в этих	6	4
57	и от	3	4
58	что он	2	4
59	в нем	5	4
60	этой эпохи	2	4
61	числе и	2	4
62	в самом	6	4
63	в котором	2	4
64	не может	3	4
65	а в	3	4
66	то же	7	4
67	в течение	2	4
68	во время	8	4
69	он не	9	4
70	в то	6	4
71	только в	3	4
72	то есть	18	4
73	в этой	3	4
74	далеко не	2	4
75	не менее	2	3
76	и другие	2	3
77	если бы	3	3
78	как о	2	3
79	хотя бы	2	3
80	к этому	6	3
81	можно сказать	2	3
82	для него	5	3
83	и как	3	3
84	из всех	4	3
85	в своем	7	3
86	и если	2	3
87	и о	4	3
88	отношению к	2	3
89	в связи	5	3
90	при этом	3	3
91	культуры и	7	3
92	в значительной	3	3
93	и даже	4	3
94	в которой	2	3
95	в других	3	3
96	в одном	7	3
97	не исчерпывается	2	2
98	уже в	2	2
99	начиная с	3	2
100	с его	3	2
101	он в	2	2
102	именно в	2	2
103	одно из	3	2
104	связана с	2	2
105	в них	9	2
106	сравнению с	2	2
107	только для	3	2
108	прежде всего	16	2
109	или иной	2	2
110	а также	4	2
111	и здесь	4	2
112	мы видели	3	2
113	в начале	3	2
114	следующий период	2	2
115	все что	2	2
116	же время	6	2
117	еще не	3	2
118	и перед	2	2
119	со всеми	5	2
120	конечно не	2	2
121	вплоть до	3	2
122	с того	2	2
123	той или	2	2
124	один из	4	2
125	не к	2	2
126	жизни и	4	2
127	во всех	6	2
128	связь с	6	2
129	для этого	3	2
130	особенно в	4	2
131	в разных	2	2
132	не было	5	2
133	этом отношении	2	2
134	одновременно и	2	2
135	те же	5	2
136	ко всему	2	2
137	свидетельствует о	2	2
138	одним из	2	2
139	связан и	2	2
140	из этой	2	2
141	и на	8	2
142	связан с	3	2
143	сказать что	3	2
144	больше чем	2	2
145	и наконец	3	2
146	народная культура	3	2
147	по сравнению	2	2
148	и все	9	2
149	и это	2	2
150	из этого	2	2
151	в эту	4	2
152	между тем	3	2
153	в виду	7	2
