N	2gram	Bakhtin_Pr_2	Otkroven
1	у него	6	22
2	у достоевского	14	19
3	и в	43	19
4	но и	14	13
5	и не	29	13
6	в этом	13	12
7	из подполья	2	11
8	а не	7	11
9	не в	11	11
10	человека в	4	11
11	может быть	23	11
12	не только	11	11
13	человека и	2	10
14	и все	6	10
15	вопрос о	2	10
16	в нем	12	10
17	никогда не	9	9
18	в человеке	3	9
19	в самой	4	9
20	прежде всего	10	9
21	и он	5	8
22	он был	3	8
23	лишь в	8	7
24	достоевского он	2	7
25	но он	4	7
26	до конца	4	7
27	ивана карамазова	2	7
28	он не	9	7
29	в его	10	7
30	все это	5	6
31	как и	14	6
32	него в	3	5
33	то что	7	5
34	а в	5	5
35	достоевского и	2	5
36	отношение к	2	5
37	в том	6	5
38	для достоевского	3	5
39	для него	8	5
40	в самом	7	5
41	в творчестве	2	5
42	его мысли	2	4
43	с его	4	4
44	и мысли	2	4
45	т е	26	4
46	он сам	3	4
47	достоевского не	3	4
48	что не	2	4
49	и его	8	4
50	все эти	5	4
51	человек и	2	4
52	достоевский не	2	4
53	не может	18	4
54	что в	4	4
55	в романах	3	4
56	к нему	5	3
57	достоевского в	4	3
58	не могут	4	3
59	в этих	6	3
60	романах достоевского	2	3
61	мысли и	2	3
62	это не	3	3
63	что он	13	3
64	того что	2	3
65	хотя бы	2	3
66	в своих	2	3
67	еще не	9	3
68	могут быть	3	3
69	и ее	3	3
70	в себе	5	3
71	было бы	5	3
72	когда он	3	3
73	о том	5	3
74	с ним	3	3
75	как бы	22	3
76	уже в	2	2
77	все же	3	2
78	что и	3	2
79	не есть	2	2
80	ее в	2	2
81	и для	3	2
82	в единстве	3	2
83	достоевского нет	2	2
84	так и	3	2
85	в своем	4	2
86	что у	2	2
87	и душа	2	2
88	что же	7	2
89	произведений достоевского	2	2
90	по себе	11	2
91	и к	3	2
92	и очень	2	2
93	должно быть	4	2
94	том что	2	2
95	так что	5	2
96	своей жизни	2	2
97	в другом	7	2
98	и на	10	2
99	и то	2	2
100	сказать что	2	2
101	и с	5	2
102	тем что	3	2
103	него не	2	2
104	и нет	4	2
105	ведь это	2	2
106	образ человека	2	2
107	достоевского но	3	2
108	его в	3	2
109	героев достоевского	4	2
110	художественном творчестве	3	2
111	в своей	4	2
112	так как	4	2
113	и этим	3	2
114	и о	2	2
115	ничего не	3	2
116	хотя и	5	2
117	которую он	2	2
118	но в	10	2
