N	2gram	Potebnia_M_4	Problema
1	то есть	34	46
2	в его	5	43
3	и не	18	42
4	и в	23	38
5	и проч	18	28
6	не может	11	27
7	может быть	26	26
8	как бы	5	22
9	по отношению	10	21
10	отношению к	8	19
11	и с	4	17
12	и его	2	16
13	в нем	7	15
14	в этом	23	15
15	и т	7	14
16	независимо от	6	13
17	только в	15	13
18	т п	4	13
19	в искусстве	3	12
20	и для	2	11
21	в области	2	11
22	к нему	5	10
23	отношение к	2	10
24	таким образом	24	10
25	в поэзии	3	9
26	но и	11	9
27	не имеет	5	9
28	его в	4	9
29	не только	10	9
30	в том	23	8
31	и как	2	8
32	и др	2	8
33	точки зрения	4	8
34	было бы	8	8
35	то что	29	8
36	художественное произведение	2	8
37	слова в	3	7
38	что в	17	7
39	с другой	2	7
40	не в	11	7
41	в самом	3	7
42	между тем	9	7
43	как и	14	7
44	еще не	3	7
45	как мы	2	7
46	не всегда	3	6
47	форма есть	2	6
48	можно только	2	6
49	а в	5	6
50	только как	4	6
51	не есть	9	6
52	самом деле	3	6
53	с точки	3	6
54	мы можем	10	6
55	там где	3	6
56	то же	14	5
57	в своем	8	5
58	это не	7	5
59	при этом	15	5
60	никогда не	3	5
61	все эти	3	5
62	должно быть	5	5
63	может иметь	2	5
64	с ним	5	5
65	в них	3	5
66	со словом	3	5
67	не нужно	2	5
68	конечно не	2	5
69	и о	4	5
70	в большинстве	2	5
71	так и	6	5
72	и прежде	2	5
73	большинстве случаев	2	5
74	а не	12	5
75	тем как	2	5
76	могут быть	7	5
77	не менее	5	4
78	в нашем	2	4
79	на самом	3	4
80	должны быть	3	4
81	в ней	2	4
82	известной степени	3	4
83	в виду	3	4
84	данном случае	2	4
85	и только	3	4
86	в других	2	4
87	с ними	3	4
88	сказать что	8	4
89	в более	2	4
90	в то	4	4
91	о том	8	4
92	и потому	10	4
93	но в	8	4
94	значение слова	5	4
95	не с	2	4
96	в ее	2	4
97	как в	7	4
98	тем самым	4	4
99	что не	6	4
100	между ними	4	4
101	хотя бы	4	4
102	можно было	2	4
103	в данном	4	4
104	в себе	14	4
105	тем не	4	3
106	да и	4	3
107	проч но	2	3
108	но это	3	3
109	имеем дело	2	3
110	же время	3	3
111	кроме того	3	3
112	например в	3	3
113	хотя и	5	3
114	и тем	4	3
115	природы и	2	3
116	все это	5	3
117	есть лишь	2	3
118	и даже	2	3
119	и на	3	3
120	языка в	2	3
121	а как	2	3
122	если бы	13	3
123	и все	4	3
124	и к	6	3
125	поэтического произведения	5	3
126	том что	12	3
127	говорить о	5	3
128	от него	2	3
129	все что	2	3
130	мы в	3	3
131	он не	2	3
132	оно не	2	3
133	слова не	3	3
134	в мире	2	3
135	в слове	22	3
136	в таком	4	3
137	с другими	4	3
138	слова и	5	3
139	и это	2	3
140	чем в	2	2
141	я не	2	2
142	не могут	2	2
143	ни к	2	2
144	и есть	3	2
145	от ее	2	2
146	в этих	3	2
147	столь же	2	2
148	что все	4	2
149	в каждом	3	2
150	для понимания	2	2
151	на то	7	2
152	можно сказать	4	2
153	связь и	2	2
154	не можем	5	2
155	в свою	2	2
156	по поводу	4	2
157	что это	7	2
158	и у	2	2
159	не вполне	2	2
160	в котором	4	2
161	и значение	3	2
162	лица и	3	2
163	другими словами	8	2
164	не было	12	2
165	при посредстве	2	2
166	и других	3	2
167	в самой	2	2
168	здесь мы	2	2
169	лишь в	3	2
170	и что	7	2
171	того что	14	2
172	есть только	5	2
173	слова с	3	2
174	и здесь	2	2
175	в своих	2	2
176	не следует	2	2
177	к его	2	2
178	в истории	4	2
179	мы должны	2	2
180	же самое	4	2
181	можем сказать	2	2
182	мы имеем	4	2
183	слово в	4	2
184	и более	4	2
185	вовсе не	7	2
186	есть не	4	2
187	что он	4	2
188	у нас	2	2
189	и при	2	2
190	связи с	3	2
191	она не	2	2
192	том же	2	2
193	что и	7	2
194	бы не	3	2
195	в двух	2	2
196	человека в	2	2
197	того чтобы	4	2
198	для того	6	2
199	из которых	2	2
200	слово и	3	2
201	освобождается от	2	2
202	тем что	10	2
203	в виде	2	2
204	и вообще	2	2
205	в таких	2	2
