N	2gram	Tiupa_Anal_1	Dialekti
1	не есть	8	47
2	и не	21	30
3	может быть	29	20
4	и в	18	19
5	не только	15	19
6	по себе	4	18
7	и т	3	17
8	а не	17	16
9	в себе	11	15
10	то что	6	14
11	в том	27	14
12	как бы	5	14
13	так как	2	14
14	потому что	2	14
15	вовсе не	2	13
16	но и	17	12
17	то же	9	12
18	не просто	2	12
19	точки зрения	6	12
20	и все	3	12
21	личность есть	2	11
22	ни в	4	10
23	как и	13	10
24	и как	5	10
25	в нем	3	10
26	так и	4	10
27	том что	12	10
28	это не	6	10
29	времени и	6	9
30	никогда не	2	9
31	она есть	2	9
32	не может	22	9
33	личности в	3	8
34	прежде всего	6	8
35	с точки	4	8
36	не в	14	8
37	в этом	13	8
38	в своей	6	8
39	есть не	8	7
40	и к	3	7
41	что в	5	7
42	должно быть	2	7
43	и то	2	7
44	как будто	3	7
45	и та	2	6
46	что он	3	6
47	что не	3	6
48	отнюдь не	15	6
49	в то	9	6
50	но не	10	6
51	того что	4	6
52	не могу	2	6
53	тогда когда	2	6
54	с другой	4	5
55	же время	6	5
56	в силу	3	5
57	можно сказать	2	5
58	в самом	6	5
59	и потому	2	5
60	что и	3	5
61	а именно	3	5
62	и его	5	5
63	только в	6	5
64	о том	5	5
65	и с	2	5
66	и есть	3	4
67	не могут	3	4
68	все же	4	4
69	субъекта и	4	4
70	при этом	12	4
71	еще не	3	4
72	к нему	3	4
73	за пределы	2	4
74	той или	6	4
75	он не	3	4
76	хотя бы	3	4
77	вопрос об	3	4
78	ни с	3	4
79	во времени	4	4
80	другой стороны	2	4
81	таким образом	3	4
82	самом деле	2	4
83	и по	2	4
84	а в	9	4
85	в таком	3	4
86	могут быть	4	4
87	в личности	2	4
88	в другом	4	4
89	по своей	6	4
90	как он	3	4
91	с ним	4	4
92	и более	4	3
93	иное как	5	3
94	была бы	2	3
95	вопрос о	2	3
96	не что	4	3
97	как мы	2	3
98	что иное	5	3
99	уже не	4	3
100	в этой	5	3
101	было бы	2	3
102	даже в	3	3
103	сами по	2	3
104	из них	2	3
105	и тогда	2	3
106	мы имеем	6	3
107	это как	2	3
108	в той	8	3
109	в данном	2	3
110	понимать как	2	3
111	может иметь	2	3
112	нуждается в	8	3
113	будто бы	3	3
114	таком случае	3	3
115	смысла и	3	2
116	что же	2	2
117	в противоположность	2	2
118	только не	2	2
119	в частности	19	2
120	мере в	3	2
121	следует что	2	2
122	в какой	2	2
123	на самом	2	2
124	но о	2	2
125	именно в	4	2
126	он может	2	2
127	к тому	7	2
128	в широком	4	2
129	только через	2	2
130	не будет	3	2
131	как известно	3	2
132	с целью	2	2
133	на его	2	2
134	в сущности	6	2
135	несмотря на	2	2
136	в искусстве	2	2
137	внутреннего и	2	2
138	если в	3	2
139	себя в	6	2
140	в мире	8	2
141	на все	2	2
142	не говоря	2	2
143	дело не	3	2
144	данном случае	2	2
145	силу своей	2	2
146	и внешнего	2	2
147	в их	5	2
148	т п	3	2
149	смысл и	3	2
150	собственно говоря	4	2
151	личность в	2	2
152	с одной	3	2
153	того и	3	2
154	тех или	2	2
155	широком смысле	2	2
156	также и	2	2
157	в акте	2	2
158	бы ни	2	2
159	между тем	5	2
160	личности а	2	2
161	реальности и	2	2
162	или не	2	2
163	что мы	3	2
164	же самое	2	2
165	того или	3	2
166	все эти	2	2
167	в которой	2	2
168	в области	4	2
169	но в	8	2
170	я и	6	2
171	мире и	2	2
172	вместе с	4	2
173	на этом	2	2
