N	2gram	Tiupa_Disk_1	Russkaja
1	не может	9	22
2	и не	11	19
3	в том	23	17
4	в этом	15	17
5	и в	16	14
6	то что	5	13
7	таким образом	3	11
8	то же	7	11
9	точки зрения	3	11
10	же время	4	10
11	но и	14	10
12	в то	3	10
13	том что	19	9
14	не только	28	9
15	в себе	7	9
16	может быть	17	9
17	во всяком	2	9
18	прежде всего	11	8
19	ни к	6	7
20	отнюдь не	8	7
21	к тому	5	7
22	в данном	5	7
23	о том	8	7
24	что он	4	6
25	и к	4	6
26	для него	4	6
27	в своем	6	6
28	в своих	3	6
29	между собой	2	5
30	жизни в	2	5
31	хотя бы	3	5
32	и на	5	5
33	или иной	5	5
34	при этом	13	5
35	в своей	5	5
36	никогда не	2	5
37	в нем	9	5
38	во всех	5	5
39	а в	5	5
40	потому что	4	5
41	только в	7	5
42	между тем	4	5
43	но не	11	4
44	что в	4	4
45	как и	16	4
46	более или	2	4
47	как бы	5	4
48	все же	3	4
49	себя в	2	4
50	со стороны	7	4
51	или менее	2	4
52	что же	2	4
53	в их	5	4
54	приводит к	2	4
55	не в	7	4
56	в этой	2	4
57	в его	7	4
58	и т.д	4	4
59	на том	2	3
60	именно в	3	3
61	и как	6	3
62	в другом	2	3
63	лишь в	4	3
64	в качестве	34	3
65	еще не	14	3
66	в самом	3	3
67	том чтобы	2	3
68	одной из	4	3
69	той или	3	3
70	и потому	3	3
71	что и	3	3
72	не есть	2	3
73	из них	3	3
74	данном случае	2	3
75	не было	7	3
76	сводится к	5	3
77	в значительной	2	3
78	того что	3	3
79	и по	2	3
80	или в	2	3
81	тем что	3	3
82	и во	2	3
83	связи с	4	3
84	о котором	2	3
85	а с	5	2
86	зависит от	2	2
87	и есть	2	2
88	в частности	9	2
89	с этим	3	2
90	к той	3	2
91	к себе	2	2
92	это в	2	2
93	состоит в	9	2
94	по себе	3	2
95	уже не	4	2
96	к такому	2	2
97	указывает на	2	2
98	отличается от	2	2
99	что с	2	2
100	и о	4	2
101	в котором	5	2
102	для себя	4	2
103	и тем	2	2
104	к данному	2	2
105	целый ряд	2	2
106	по отношению	9	2
107	тогда как	19	2
108	отношения к	2	2
109	и что	2	2
110	а не	22	2
111	и даже	3	2
112	принадлежат к	3	2
113	в силу	5	2
114	на себя	2	2
115	в начале	2	2
116	того или	2	2
117	но в	8	2
